Mn=289 den=2 N=250 errco=2703 C250=3443661/500000
30 k=78 r=108169/312500 delta=457/62500000 v=92579/500000
31 k=79 r=-100301/2500000 delta=7269/1000000000 v=19743/20000
32 k=80 r=-4639949/10000000 delta=3713/500000000 v=-281333/1000000
33 k=80 r=6476291/10000000 delta=7227/1000000000 v=-851961/1000000
34 k=81 r=388181/2500000 delta=7233/1000000000 v=162649/200000
35 k=82 r=-736701/2000000 delta=7263/1000000000 v=2431/25000
36 k=82 r=6493233/10000000 delta=367/50000000 v=-85549/100000
37 k=83 r=341579/5000000 delta=3653/500000000 v=192579/200000
38 k=84 r=-2695459/5000000 delta=3649/500000000 v=-22107/40000
39 k=84 r=998183/2500000 delta=1481/200000000 v=-26293/1000000
40 k=85 r=-321147/1250000 delta=1853/250000000 v=103363/200000
41 k=85 r=254041/400000 delta=7341/1000000000 v=-824667/1000000
42 k=86 r=-4073/62500 delta=3617/500000000 v=966217/1000000
43 k=86 r=7848713/10000000 delta=1821/250000000 v=-499999/500000
44 k=87 r=445707/10000000 delta=3663/500000000 v=19683/20000
45 k=88 r=-3571979/5000000 delta=371/50000000 v=-47997/50000
46 k=88 r=9949/125000 delta=727/100000000 v=237437/250000
47 k=89 r=-1785723/2500000 delta=367/50000000 v=-47991/50000
48 k=89 r=57831/1250000 delta=7413/1000000000 v=39317/40000
49 k=90 r=-7796629/10000000 delta=1461/200000000 v=-999737/1000000
50 k=90 r=-498367/10000000 delta=1837/250000000 v=245049/250000
51 k=90 r=3327661/5000000 delta=453/62500000 v=-443621/500000
52 k=91 r=-2037853/10000000 delta=1837/250000000 v=342883/500000
53 k=91 r=484331/1000000 delta=1481/200000000 v=-44797/125000
54 k=92 r=-4112133/10000000 delta=7391/1000000000 v=-73989/1000000
55 k=92 r=3932/15625 delta=457/62500000 v=66843/125000
56 k=93 r=-66823/100000 delta=7369/1000000000 v=-892169/1000000
57 k=93 r=-901/31250 delta=1821/250000000 v=993357/1000000
58 k=93 r=1498617/2500000 delta=7269/1000000000 v=-735897/1000000
59 k=94 r=-3538143/10000000 delta=461/62500000 v=154913/1000000
60 k=94 r=1266711/5000000 delta=3713/500000000 v=105801/200000
61 k=95 r=-1800833/2500000 delta=1821/250000000 v=-966323/1000000
62 k=95 r=-1329227/10000000 delta=7419/1000000000 v=861951/1000000
63 k=95 r=2225459/5000000 delta=3617/500000000 v=-5201/25000
64 k=96 r=-1391993/2500000 delta=3631/500000000 v=-610263/1000000
65 k=96 r=823/250000 delta=3681/500000000 v=999913/1000000
66 k=96 r=1109661/2000000 delta=7341/1000000000 v=-151003/250000
67 k=97 r=-4727217/10000000 delta=3649/500000000 v=-78663/250000
68 k=97 r=312369/5000000 delta=1837/250000000 v=484469/500000
69 k=97 r=2949277/5000000 delta=1461/200000000 v=-141877/200000
70 k=98 r=-4611491/10000000 delta=1461/200000000 v=-33799/125000
71 k=98 r=64087/1250000 delta=1481/200000000 v=195809/200000
72 k=98 r=2782623/5000000 delta=3699/500000000 v=-609399/1000000
73 k=99 r=-5159887/10000000 delta=457/62500000 v=-47341/100000
74 k=99 r=-1913/78125 delta=457/62500000 v=995207/1000000
75 k=99 r=4604231/10000000 delta=3681/500000000 v=-53519/200000
76 k=100 r=-789863/1250000 delta=7269/1000000000 v=-204333/250000
77 k=100 r=-24947/156250 delta=3617/500000000 v=160581/200000
78 k=100 r=612949/2000000 delta=3667/500000000 v=338101/1000000
79 k=100 r=7666709/10000000 delta=3617/500000000 v=-249299/250000
80 k=101 r=-3497163/10000000 delta=3663/500000000 v=34217/200000
81 k=101 r=198093/2000000 delta=461/62500000 v=46127/50000
82 k=101 r=5423039/10000000 delta=7227/1000000000 v=-563337/1000000
83 k=102 r=-5906069/10000000 delta=7419/1000000000 v=-1423/2000
84 k=102 r=-394921/2500000 delta=1823/125000000 v=403461/500000
85 k=102 r=2695511/10000000 delta=3667/500000000 v=472911/1000000
86 k=102 r=6920691/10000000 delta=3667/500000000 v=-931123/1000000
87 k=103 r=-4610897/10000000 delta=7391/1000000000 v=-270163/1000000
88 k=103 r=-12057/250000 delta=1853/250000000 v=19629/20000
89 k=103 r=719933/2000000 delta=7291/1000000000 v=130557/1000000
90 k=103 r=7636019/10000000 delta=1853/250000000 v=-498101/500000
91 k=104 r=-816037/2000000 delta=1831/125000000 v=-61239/1000000
92 k=104 r=-66033/5000000 delta=3649/500000000 v=199721/200000
93 k=104 r=3773371/10000000 delta=1481/200000000 v=61409/1000000
94 k=104 r=7637049/10000000 delta=3699/500000000 v=-498119/500000
95 k=105 r=-4248131/10000000 delta=1451/200000000 v=-128103/1000000
96 k=105 r=-232687/5000000 delta=453/62500000 v=245681/250000
97 k=105 r=819547/2500000 delta=1481/200000000 v=128309/500000
98 k=105 r=1745837/2500000 delta=3649/500000000 v=-93997/100000
99 k=106 r=-5057061/10000000 delta=739/100000000 v=-436791/1000000
100 k=106 r=-142639/1000000 delta=367/50000000 v=841601/1000000
101 k=106 r=16939/78125 delta=367/50000000 v=323453/500000
102 k=106 r=715917/1250000 delta=7363/1000000000 v=-20609/31250
103 k=107 r=-1614059/2500000 delta=371/50000000 v=-423867/500000
104 k=107 r=-23727/80000 delta=727/100000000 v=187523/500000
105 k=107 r=491107/10000000 delta=183/25000000 v=980767/1000000
106 k=107 r=3915287/10000000 delta=7283/1000000000 v=2341/500000
107 k=107 r=913419/1250000 delta=7383/1000000000 v=-976191/1000000
108 k=108 r=-5040119/10000000 delta=1819/250000000 v=-86137/200000
109 k=108 r=-855311/5000000 delta=7277/1000000000 v=387447/500000
110 k=108 r=1588493/10000000 delta=3713/500000000 v=201209/250000
111 k=108 r=485777/1000000 delta=7277/1000000000 v=-36377/100000
112 k=109 r=-7610287/10000000 delta=7369/1000000000 v=-995253/1000000
113 k=109 r=-879827/2000000 delta=923/125000000 v=-187737/1000000
114 k=109 r=-608153/5000000 delta=1821/250000000 v=220991/250000
115 k=109 r=1938743/10000000 delta=3617/500000000 v=714073/1000000
116 k=109 r=1013289/2000000 delta=7419/1000000000 v=-110041/250000
117 k=110 r=-377031/500000 delta=7241/1000000000 v=-198431/200000
118 k=110 r=-446613/1000000 delta=3681/500000000 v=-53497/250000
119 k=110 r=-1417613/10000000 delta=7291/1000000000 v=210873/250000
120 k=110 r=321087/2000000 delta=457/62500000 v=200199/250000
121 k=110 r=4603377/10000000 delta=7341/1000000000 v=-133633/500000
122 k=110 r=1515329/2000000 delta=7291/1000000000 v=-993853/1000000
123 k=111 r=-2591163/5000000 delta=1837/250000000 v=-481297/1000000
124 k=111 r=-2257213/10000000 delta=1461/200000000 v=619347/1000000
125 k=111 r=644419/10000000 delta=1481/200000000 v=966961/1000000
126 k=111 r=880733/2500000 delta=1837/250000000 v=160921/1000000
127 k=111 r=6378649/10000000 delta=1451/200000000 v=-830867/1000000
128 k=112 r=-3247979/5000000 delta=3653/500000000 v=-428027/500000
129 k=112 r=-1842319/5000000 delta=3703/500000000 v=96789/1000000
130 k=112 r=-447533/5000000 delta=7247/1000000000 v=93659/100000
131 k=112 r=1873157/10000000 delta=1839/250000000 v=732191/1000000
132 k=112 r=2310159/5000000 delta=7397/1000000000 v=-273789/1000000
133 k=112 r=918343/1250000 delta=7397/1000000000 v=-979487/1000000
134 k=113 r=-2827611/5000000 delta=183/12500000 v=-637533/1000000
135 k=113 r=-1484673/5000000 delta=729/100000000 v=373759/1000000
136 k=113 r=-60657/2000000 delta=367/50000000 v=19853/20000
137 k=113 r=2343269/10000000 delta=7263/1000000000 v=14799/25000
138 k=113 r=1242633/2500000 delta=7313/1000000000 v=-2027/5000
139 k=113 r=1515773/2000000 delta=729/100000000 v=-993951/1000000
140 k=114 r=-5539477/10000000 delta=371/50000000 v=-300597/500000
141 k=114 r=-2968317/10000000 delta=7333/1000000000 v=18707/50000
142 k=114 r=-415291/10000000 delta=7333/1000000000 v=493117/500000
143 k=114 r=2119817/10000000 delta=7333/1000000000 v=661539/1000000
144 k=114 r=579653/1250000 delta=7233/1000000000 v=-280287/1000000
145 k=114 r=1427451/2000000 delta=737/100000000 v=-191837/200000
146 k=115 r=-3043937/5000000 delta=3713/500000000 v=-190169/250000
147 k=115 r=-3622017/10000000 delta=7277/1000000000 v=121687/1000000
148 k=115 r=-1172851/10000000 delta=3713/500000000 v=891957/1000000
149 k=115 r=1259843/10000000 delta=1819/250000000 v=109461/125000
150 k=115 r=229763/625000 delta=3663/500000000 v=20029/200000
151 k=115 r=607657/1000000 delta=7227/1000000000 v=-757733/1000000
152 k=116 r=-724689/1000000 delta=923/125000000 v=-48533/50000
153 k=116 r=-487803/1000000 delta=7369/1000000000 v=-185653/500000
154 k=116 r=-1262297/5000000 delta=3667/500000000 v=265999/500000
155 k=116 r=-46601/2500000 delta=7369/1000000000 v=498611/500000
156 k=116 r=2136759/10000000 delta=3617/500000000 v=328221/500000
157 k=116 r=2222537/5000000 delta=7319/1000000000 v=-205753/1000000
158 k=116 r=6738723/10000000 delta=3667/500000000 v=-180427/200000
159 k=117 r=-3345021/5000000 delta=3621/500000000 v=-893563/1000000
160 k=117 r=-4425149/10000000 delta=3621/500000000 v=-197947/1000000
161 k=117 r=-2174381/10000000 delta=7261/1000000000 v=80627/125000
162 k=117 r=62479/10000000 delta=7261/1000000000 v=124961/125000
163 k=117 r=91423/400000 delta=7411/1000000000 v=610401/1000000
164 k=117 r=4495053/10000000 delta=3671/500000000 v=-9011/40000
165 k=117 r=6691091/10000000 delta=7411/1000000000 v=-893751/1000000
166 k=118 r=-6834091/10000000 delta=3627/500000000 v=-458967/500000
167 k=118 r=-4664387/10000000 delta=7349/1000000000 v=-2907/10000
168 k=118 r=-2507689/10000000 delta=3677/500000000 v=33607/62500
169 k=118 r=-181871/5000000 delta=7299/1000000000 v=494717/500000
170 k=118 r=441881/2500000 delta=1851/250000000 v=190077/250000
171 k=118 r=971573/2500000 delta=7299/1000000000 v=16279/1000000
172 k=118 r=46818/78125 delta=1851/250000000 v=-735419/1000000
173 k=119 r=-119079/156250 delta=3703/500000000 v=-995663/1000000
174 k=119 r=-138473/250000 delta=7297/1000000000 v=-75127/125000
175 k=119 r=-108397/312500 delta=3703/500000000 v=18229/100000
176 k=119 r=-705151/5000000 delta=7247/1000000000 v=845059/1000000
177 k=119 r=159117/2500000 delta=7347/1000000000 v=967767/1000000
178 k=119 r=2671679/10000000 delta=3703/500000000 v=481289/1000000
179 k=119 r=4695509/10000000 delta=7397/1000000000 v=-75647/250000
180 k=119 r=6708033/10000000 delta=7297/1000000000 v=-896771/1000000
181 k=120 r=-6998533/10000000 delta=729/100000000 v=-471013/500000
182 k=120 r=-500819/1000000 delta=729/100000000 v=-419123/1000000
183 k=120 r=-37859/125000 delta=7413/1000000000 v=351627/1000000
184 k=120 r=-265013/2500000 delta=7413/1000000000 v=455721/500000
185 k=120 r=897959/10000000 delta=7363/1000000000 v=117023/125000
186 k=120 r=569077/2000000 delta=729/100000000 v=419271/1000000
187 k=120 r=597801/1250000 delta=7363/1000000000 v=-335529/1000000
188 k=120 r=3354531/5000000 delta=367/50000000 v=-896953/1000000
189 k=121 r=-3541217/5000000 delta=7383/1000000000 v=-476377/500000
190 k=121 r=-5176117/10000000 delta=737/100000000 v=-479119/1000000
191 k=121 r=-819943/2500000 delta=7383/1000000000 v=51201/200000
192 k=121 r=-17417/125000 delta=183/25000000 v=848663/1000000
193 k=121 r=483261/10000000 delta=7333/1000000000 v=7851/8000
194 k=121 r=2350201/10000000 delta=7333/1000000000 v=589723/1000000
195 k=121 r=1051883/2500000 delta=7233/1000000000 v=-111981/1000000
196 k=121 r=3027681/5000000 delta=727/100000000 v=-75217/100000
197 k=122 r=-1953541/2500000 delta=7227/1000000000 v=-999873/1000000
198 k=122 r=-5985047/10000000 delta=1819/250000000 v=-36667/50000
199 k=122 r=-2082571/5000000 delta=461/62500000 v=-23779/250000
200 k=122 r=-294297/1250000 delta=7227/1000000000 v=294187/500000
201 k=122 r=-276303/5000000 delta=3713/500000000 v=975669/1000000
202 k=122 r=124017/1000000 delta=7277/1000000000 v=879461/1000000
203 k=122 r=3024131/10000000 delta=7327/1000000000 v=70669/200000
204 k=122 r=4799313/10000000 delta=3663/500000000 v=-341891/1000000
205 k=122 r=3282913/5000000 delta=7327/1000000000 v=-217541/250000
206 k=123 r=-7384223/10000000 delta=3659/500000000 v=-491199/500000
207 k=123 r=-2817417/5000000 delta=3709/500000000 v=-631229/1000000
208 k=123 r=-3893861/10000000 delta=1477/200000000 v=3313/250000
209 k=123 r=-1080617/5000000 delta=1457/200000000 v=25961/40000
210 k=123 r=-5461/125000 delta=3709/500000000 v=98477/100000
211 k=123 r=51171/400000 delta=1467/200000000 v=217977/250000
212 k=123 r=2987301/10000000 delta=1457/200000000 v=367087/1000000
213 k=123 r=4687307/10000000 delta=3659/500000000 v=-14973/50000
214 k=123 r=3189683/5000000 delta=1817/250000000 v=-415513/500000
215 k=124 r=-152889/200000 delta=7361/1000000000 v=-99649/100000
216 k=124 r=-1193621/2000000 delta=1823/250000000 v=-182179/250000
217 k=124 r=-537441/1250000 delta=7411/1000000000 v=-9279/62500
218 k=124 r=-164913/625000 delta=231/31250000 v=246421/500000
219 k=124 r=-246319/2500000 delta=7411/1000000000 v=923339/1000000
220 k=124 r=660507/10000000 delta=7311/1000000000 v=965301/1000000
221 k=124 r=71839/312500 delta=7311/1000000000 v=606187/1000000
222 k=124 r=3929747/10000000 delta=7411/1000000000 v=-551/500000
223 k=124 r=5553349/10000000 delta=7411/1000000000 v=-605619/1000000
224 k=124 r=716969/1000000 delta=7361/1000000000 v=-962773/1000000
225 k=125 r=-6929121/10000000 delta=3627/500000000 v=-233087/250000
226 k=125 r=-266357/500000 delta=7277/500000000 v=-531237/1000000
227 k=125 r=-3732203/10000000 delta=3627/500000000 v=19459/250000
228 k=125 r=-536073/2500000 delta=7399/1000000000 v=327083/500000
229 k=125 r=-281659/5000000 delta=3627/500000000 v=974721/1000000
230 k=125 r=1010757/10000000 delta=7349/1000000000 v=919377/1000000
231 k=125 r=644501/2500000 delta=7349/1000000000 v=128447/250000
232 k=125 r=4138459/10000000 delta=913/125000000 v=-42243/500000
233 k=125 r=711529/1250000 delta=7399/1000000000 v=-648869/1000000
234 k=125 r=7239357/10000000 delta=7249/1000000000 v=-969931/1000000
235 k=126 r=-1732023/2500000 delta=7297/1000000000 v=-932199/1000000
236 k=126 r=-1348529/2500000 delta=7247/1000000000 v=-553741/1000000
237 k=126 r=-3866643/10000000 delta=7397/1000000000 v=24137/1000000
238 k=126 r=-2345599/10000000 delta=3703/500000000 v=591209/1000000
239 k=126 r=-415457/5000000 delta=1839/250000000 v=945273/1000000
240 k=126 r=677449/10000000 delta=907/125000000 v=963509/1000000
241 k=126 r=1089763/5000000 delta=7397/1000000000 v=321721/500000
242 k=126 r=367539/1000000 delta=7397/1000000000 v=100471/1000000
243 k=126 r=5165077/10000000 delta=7247/1000000000 v=-237619/500000
244 k=126 r=6648659/10000000 delta=3703/500000000 v=-88601/100000
245 k=127 r=-758181/1000000 delta=14563/1000000000 v=-6213/6250
246 k=127 r=-6110313/10000000 delta=739/100000000 v=-766471/1000000
247 k=127 r=-2322397/5000000 delta=739/100000000 v=-283193/1000000
248 k=127 r=-3185199/10000000 delta=7263/1000000000 v=146191/500000
249 k=127 r=-1731493/10000000 delta=181/25000000 v=76959/100000
250 k=127 r=-283567/10000000 delta=729/100000000 v=496787/500000
