Mn=389 den=1 sgn=1 N=900 eps=10000 J=97 psi=-474833/250000 u900=325667/1000000 d900=2453/125000000 r900=7024689/10000000 k900=421
1 k=0 r=474833/1000000 delta=1/1000000000 v=-322657/1000000
100 k=285 r=650677/1000000 delta=307/15625000 v=-429141/500000
101 k=286 r=47557/1000000 delta=4887/250000000 v=981961/1000000
102 k=287 r=-5651031/10000000 delta=9781/500000000 v=-636241/1000000
103 k=287 r=479597/1250000 delta=9731/500000000 v=18039/500000
104 k=288 r=-247499/1000000 delta=9817/500000000 v=548693/1000000
105 k=288 r=6831349/10000000 delta=9767/500000000 v=-458749/500000
106 k=289 r=170711/5000000 delta=2447/125000000 v=990689/1000000
107 k=290 r=-6234961/10000000 delta=4871/250000000 v=-797529/1000000
108 k=290 r=2811623/10000000 delta=4871/250000000 v=431493/1000000
109 k=291 r=-3933197/10000000 delta=2439/125000000 v=-1241/500000
110 k=291 r=4948159/10000000 delta=4903/250000000 v=-397203/1000000
111 k=292 r=-244847/1250000 delta=9749/500000000 v=17711/25000
112 k=292 r=6763187/10000000 delta=3921/200000000 v=-453157/500000
113 k=293 r=-300223/10000000 delta=3921/200000000 v=496399/500000
114 k=294 r=-3719939/5000000 delta=2439/125000000 v=-986313/1000000
115 k=294 r=210729/2000000 delta=19491/1000000000 v=912493/1000000
116 k=295 r=-6234413/10000000 delta=19519/1000000000 v=-797397/1000000
117 k=295 r=528333/2500000 delta=153/7812500 v=331741/500000
118 k=296 r=-212719/400000 delta=19527/1000000000 v=-528127/1000000
119 k=296 r=1444379/5000000 delta=19527/1000000000 v=201729/500000
120 k=297 r=-2340517/5000000 delta=19569/1000000000 v=-59413/200000
121 k=297 r=3389549/10000000 delta=19569/1000000000 v=8533/40000
122 k=298 r=-4314253/10000000 delta=9781/500000000 v=-77143/500000
123 k=298 r=3624557/10000000 delta=19641/1000000000 v=120679/1000000
124 k=299 r=-52611/125000 delta=3911/200000000 v=-112517/1000000
125 k=299 r=720487/2000000 delta=4887/250000000 v=64729/500000
126 k=300 r=-2178227/5000000 delta=3891/200000000 v=-85471/500000
127 k=300 r=416407/1250000 delta=3911/200000000 v=47209/200000
128 k=301 r=-1187299/2500000 delta=491/25000000 v=-64597/200000
129 k=301 r=1409497/5000000 delta=19463/1000000000 v=428831/1000000
130 k=302 r=-1344831/2500000 delta=1957/100000000 v=-137201/250000
131 k=302 r=1036423/5000000 delta=1947/100000000 v=675511/1000000
132 k=303 r=-1559911/2500000 delta=9763/500000000 v=-399329/500000
133 k=303 r=137501/1250000 delta=9763/500000000 v=3619/4000
134 k=304 r=-3661649/5000000 delta=38919/1000000000 v=-488777/500000
135 k=304 r=-92809/10000000 delta=4871/250000000 v=999311/1000000
136 k=304 r=3542169/5000000 delta=19519/1000000000 v=-190597/200000
137 k=305 r=-1498993/10000000 delta=2439/125000000 v=825563/1000000
138 k=305 r=1393427/2500000 delta=19491/1000000000 v=-612079/1000000
139 k=306 r=-1556257/5000000 delta=3921/200000000 v=160029/500000
140 k=306 r=3858853/10000000 delta=9799/500000000 v=6813/250000
141 k=307 r=-4927439/10000000 delta=9753/500000000 v=-389583/1000000
142 k=307 r=1945413/10000000 delta=9753/500000000 v=712203/1000000
143 k=308 r=-3468967/5000000 delta=19613/1000000000 v=-58351/62500
144 k=308 r=-160971/10000000 delta=1949/100000000 v=124741/125000
145 k=308 r=1313843/2000000 delta=1959/100000000 v=-870831/1000000
146 k=309 r=-2454853/10000000 delta=19583/1000000000 v=555409/1000000
147 k=309 r=836667/2000000 delta=19483/1000000000 v=-51179/500000
148 k=310 r=-493137/1000000 delta=4869/250000000 v=-391031/1000000
149 k=310 r=808771/5000000 delta=2447/125000000 v=398943/500000
150 k=311 r=-3792733/5000000 delta=19569/1000000000 v=-994237/1000000
151 k=311 r=-140449/1250000 delta=9767/500000000 v=225173/250000
152 k=311 r=5295589/10000000 delta=9817/500000000 v=-260251/500000
153 k=312 r=-4035303/10000000 delta=9771/500000000 v=-43311/1000000
154 k=312 r=2300243/10000000 delta=9821/500000000 v=605743/1000000
155 k=313 r=-3556607/5000000 delta=19649/1000000000 v=-956421/1000000
156 k=313 r=-214791/2500000 delta=19549/1000000000 v=470763/500000
157 k=313 r=1338729/2500000 delta=9777/500000000 v=-540617/1000000
158 k=314 r=-83569/200000 delta=38/1953125 v=-50207/500000
159 k=314 r=1957247/10000000 delta=38/1953125 v=88609/125000
160 k=315 r=-765353/1000000 delta=19563/1000000000 v=-996787/1000000
161 k=315 r=-1594369/10000000 delta=19463/1000000000 v=803439/1000000
162 k=315 r=4427351/10000000 delta=19463/1000000000 v=-198811/1000000
163 k=316 r=-1059189/2000000 delta=19633/1000000000 v=-32539/62500
164 k=316 r=32603/500000 delta=1947/100000000 v=483089/500000
165 k=316 r=6563887/10000000 delta=19633/1000000000 v=-869781/1000000
166 k=317 r=-3267939/10000000 delta=19477/1000000000 v=130289/500000
167 k=317 r=2572993/10000000 delta=9763/500000000 v=515507/1000000
168 k=318 r=-916131/1250000 delta=9759/500000000 v=-244509/250000
169 k=318 r=-311491/2000000 delta=9759/500000000 v=406071/500000
170 k=318 r=4180003/10000000 delta=9809/500000000 v=-12629/125000
171 k=319 r=-116483/200000 delta=4873/250000000 v=-688097/1000000
172 k=319 r=-48/3125 delta=19511/1000000000 v=998113/1000000
173 k=319 r=68551/125000 delta=4873/250000000 v=-583341/1000000
174 k=320 r=-923737/2000000 delta=19499/1000000000 v=-273161/1000000
175 k=320 r=954421/10000000 delta=19599/1000000000 v=928007/1000000
176 k=320 r=3247863/5000000 delta=19599/1000000000 v=-428003/500000
177 k=321 r=-3702247/10000000 delta=9753/500000000 v=5611/62500
178 k=321 r=1776623/10000000 delta=19597/1000000000 v=757939/1000000
179 k=321 r=361243/500000 delta=19497/1000000000 v=-968503/1000000
180 k=322 r=-1532653/5000000 delta=1959/100000000 v=33789/100000
181 k=322 r=2322539/10000000 delta=19513/1000000000 v=598623/1000000
182 k=322 r=12289/16000 delta=19513/1000000000 v=-997597/1000000
183 k=323 r=-107941/400000 delta=9791/500000000 v=471849/1000000
184 k=323 r=2601211/10000000 delta=9791/500000000 v=252901/500000
185 k=324 r=-1567141/2000000 delta=783/40000000 v=-999973/1000000
186 k=324 r=-20259/78125 delta=783/40000000 v=508581/1000000
187 k=324 r=2621393/10000000 delta=783/40000000 v=249411/500000
188 k=324 r=1952007/2500000 delta=4907/250000000 v=-999831/1000000
189 k=325 r=-1370363/5000000 delta=4867/250000000 v=456899/1000000
190 k=325 r=2391157/10000000 delta=3927/200000000 v=288207/500000
191 k=325 r=3748099/5000000 delta=4867/250000000 v=-989777/1000000
