M=86 sgn=1 N=100 J=11 psi=29/40000
64 k=57 r=-74741/625000 delta=89/12500000 v=887759/1000000
65 k=57 r=267193/1250000 delta=37/6250000 v=131241/200000
66 k=57 r=108401/200000 delta=531/100000000 v=-562349/1000000
67 k=58 r=-7054769/10000000 delta=7/1000000 v=-474667/500000
68 k=58 r=-1934763/5000000 delta=21/2500000 v=2873/125000
69 k=58 r=-22837/312500 delta=21/2500000 v=47879/50000
70 k=58 r=1181397/5000000 delta=27/5000000 v=36603/62500
71 k=58 r=5412491/10000000 delta=643/100000000 v=-279923/500000
72 k=59 r=-728843/1000000 delta=709/100000000 v=-974521/1000000
73 k=59 r=-2161433/5000000 delta=529/100000000 v=-157689/1000000
74 k=59 r=-1397651/10000000 delta=387/50000000 v=423877/500000
75 k=59 r=1488299/10000000 delta=749/100000000 v=827969/1000000
76 k=59 r=2168011/5000000 delta=549/100000000 v=-162883/1000000
77 k=59 r=178663/250000 delta=689/100000000 v=-480113/500000
78 k=60 r=-5787211/10000000 delta=319/50000000 v=-677301/1000000
79 k=60 r=-3048321/10000000 delta=219/50000000 v=86069/250000
80 k=60 r=-343883/10000000 delta=299/50000000 v=495277/500000
81 k=60 r=2326959/10000000 delta=89/20000000 v=298603/500000
82 k=60 r=4965029/10000000 delta=239/50000000 v=-403387/1000000
83 k=60 r=3785561/5000000 delta=399/50000000 v=-496803/500000
84 k=61 r=-5561961/10000000 delta=227/25000000 v=-152089/250000
85 k=61 r=-188597/625000 delta=19/4000000 v=71161/200000
86 k=61 r=-62863/1250000 delta=159/20000000 v=195967/200000
87 k=61 r=1982673/10000000 delta=91/12500000 v=350831/500000
88 k=61 r=4439843/10000000 delta=187/25000000 v=-40741/200000
89 k=61 r=6869247/10000000 delta=23/4000000 v=-461711/500000
90 k=62 r=-804557/1250000 delta=303/50000000 v=-843511/1000000
91 k=62 r=-2030371/5000000 delta=443/50000000 v=-2139/40000
92 k=62 r=-106937/625000 delta=313/50000000 v=774801/1000000
93 k=62 r=122671/2000000 delta=383/50000000 v=485027/500000
94 k=62 r=2912843/10000000 delta=353/50000000 v=6166/15625
95 k=62 r=1296999/2500000 delta=383/50000000 v=-120821/250000
96 k=62 r=3719663/5000000 delta=393/50000000 v=-246569/250000
97 k=63 r=-6040639/10000000 delta=637/100000000 v=-187069/250000
98 k=63 r=-3835491/10000000 delta=657/100000000 v=2287/62500
99 k=63 r=-1652731/10000000 delta=223/50000000 v=394661/500000
100 k=63 r=508091/10000000 delta=717/100000000 v=489709/500000
