Mn=471 den=2 N=250 errco=7082 C250=3944193/1000000
51 k=147 r=5791751/10000000 delta=2949/250000000 v=-169659/250000
52 k=148 r=758097/5000000 delta=11839/1000000000 v=821661/1000000
53 k=149 r=-2977141/10000000 delta=11921/1000000000 v=74173/200000
54 k=150 r=-7680131/10000000 delta=19/1600000 v=-997583/1000000
55 k=150 r=1561451/5000000 delta=2957/250000000 v=316119/1000000
56 k=151 r=-197667/1000000 delta=11967/1000000000 v=703371/1000000
57 k=152 r=-7263993/10000000 delta=11893/1000000000 v=-486141/500000
58 k=152 r=2975429/10000000 delta=11793/1000000000 v=371501/1000000
59 k=153 r=-1334103/5000000 delta=119/10000000 v=241253/500000
60 k=153 r=3613487/5000000 delta=237/20000000 v=-968713/1000000
61 k=154 r=312659/2500000 delta=11807/1000000000 v=877461/1000000
62 k=155 r=-2441979/5000000 delta=11789/1000000000 v=-373507/1000000
63 k=155 r=2268139/5000000 delta=2991/250000000 v=-241309/1000000
64 k=156 r=-949937/5000000 delta=5911/500000000 v=724871/1000000
65 k=156 r=112941/156250 delta=5961/500000000 v=-968837/1000000
66 k=157 r=509001/10000000 delta=11779/1000000000 v=195869/200000
67 k=158 r=-6345399/10000000 delta=11917/1000000000 v=-25731/31250
68 k=158 r=2376991/10000000 delta=11967/1000000000 v=116207/200000
69 k=159 r=-591991/1250000 delta=11893/1000000000 v=-158979/500000
70 k=159 r=3735419/10000000 delta=11843/1000000000 v=38277/500000
71 k=160 r=-3621361/10000000 delta=237/20000000 v=30487/250000
72 k=160 r=4613073/10000000 delta=59/5000000 v=-271001/1000000
73 k=161 r=-594817/2000000 delta=2949/250000000 v=93/250
74 k=161 r=1259053/2500000 delta=2949/250000000 v=-214637/500000
75 k=162 r=-2768901/10000000 delta=2363/200000000 v=89369/200000
76 k=162 r=502921/1000000 delta=5969/500000000 v=-213371/500000
77 k=163 r=-1491277/5000000 delta=11781/1000000000 v=368853/1000000
78 k=163 r=4614323/10000000 delta=371/31250000 v=-135741/500000
79 k=164 r=-1796777/5000000 delta=11879/1000000000 v=6649/50000
80 k=164 r=1906107/5000000 delta=5937/500000000 v=9179/200000
81 k=165 r=-2291001/5000000 delta=2959/250000000 v=-259017/1000000
82 k=165 r=2642019/10000000 delta=11867/1000000000 v=245827/500000
83 k=166 r=-592947/1000000 delta=593/50000000 v=-718047/1000000
84 k=166 r=1121489/10000000 delta=23743/1000000000 v=901057/1000000
85 k=167 r=-3809471/5000000 delta=119/10000000 v=-15556/15625
86 k=167 r=-366461/5000000 delta=119/10000000 v=957333/1000000
87 k=167 r=3036779/5000000 delta=239/20000000 v=-378473/500000
88 k=168 r=-2905759/10000000 delta=2389/200000000 v=397227/1000000
89 k=168 r=1873411/5000000 delta=2359/200000000 v=14401/200000
90 k=169 r=-5382861/10000000 delta=5919/500000000 v=-274993/500000
91 k=169 r=561369/5000000 delta=2961/125000000 v=22521/25000
92 k=169 r=7557217/10000000 delta=2393/200000000 v=-992963/1000000
93 k=170 r=-1785829/10000000 delta=5961/500000000 v=755531/1000000
94 k=170 r=4511029/10000000 delta=2993/250000000 v=-28937/125000
95 k=171 r=-4966723/10000000 delta=11929/1000000000 v=-404007/1000000
96 k=171 r=599127/5000000 delta=5987/500000000 v=887317/1000000
97 k=171 r=7299353/10000000 delta=11779/1000000000 v=-243873/250000
98 k=172 r=-148131/625000 delta=11817/1000000000 v=291639/500000
99 k=172 r=360713/1000000 delta=373/31250000 v=31899/250000
100 k=173 r=-154593/250000 delta=11959/1000000000 v=-784997/1000000
101 k=173 r=-162711/5000000 delta=11959/1000000000 v=49577/50000
102 k=173 r=68439/125000 delta=11809/1000000000 v=-290213/500000
103 k=174 r=-4488939/10000000 delta=11901/1000000000 v=-222891/1000000
104 k=174 r=74969/625000 delta=5951/500000000 v=887087/1000000
105 k=174 r=6833547/10000000 delta=747/62500000 v=-917847/1000000
106 k=175 r=-3293831/10000000 delta=5929/500000000 v=50113/200000
107 k=175 r=1117207/5000000 delta=5979/500000000 v=626481/1000000
108 k=175 r=3855601/5000000 delta=5979/500000000 v=-99837/100000
109 k=176 r=-321311/1250000 delta=2393/200000000 v=103273/200000
110 k=176 r=2806271/10000000 delta=2363/200000000 v=433423/1000000
111 k=177 r=-1893391/2500000 delta=11881/1000000000 v=-248429/250000
112 k=177 r=-22933/100000 delta=2993/250000000 v=12159/20000
113 k=177 r=1470049/5000000 delta=11881/1000000000 v=48073/125000
114 k=178 r=-473789/625000 delta=11879/1000000000 v=-248507/250000
115 k=178 r=-1219329/5000000 delta=11929/1000000000 v=112157/200000
116 k=178 r=2658739/10000000 delta=739/62500000 v=24291/50000
117 k=178 r=7712451/10000000 delta=2981/250000000 v=-499199/500000
118 k=179 r=-2984837/10000000 delta=11887/1000000000 v=92001/250000
119 k=179 r=991753/5000000 delta=5933/500000000 v=43839/62500
120 k=179 r=6910343/10000000 delta=11837/1000000000 v=-185921/200000
121 k=180 r=-1955851/5000000 delta=11809/1000000000 v=1223/200000
122 k=180 r=186801/2000000 delta=5897/500000000 v=931019/1000000
123 k=180 r=1435037/2500000 delta=2961/250000000 v=-165833/250000
124 k=181 r=-5200589/10000000 delta=5901/500000000 v=-60961/125000
125 k=181 r=-471631/10000000 delta=11851/1000000000 v=491129/500000
126 k=181 r=4219647/10000000 delta=11951/1000000000 v=-23359/200000
127 k=182 r=-6834189/10000000 delta=369/31250000 v=-917949/1000000
128 k=182 r=-443301/2000000 delta=369/31250000 v=632049/1000000
129 k=182 r=473053/2000000 delta=2369/200000000 v=292423/500000
130 k=182 r=6911593/10000000 delta=2977/250000000 v=-92979/100000
131 k=183 r=-2142419/5000000 delta=2373/200000000 v=-142651/1000000
132 k=183 r=19237/1000000 delta=2947/250000000 v=997041/1000000
133 k=183 r=579473/1250000 delta=2947/250000000 v=-139867/500000
134 k=184 r=-6662059/10000000 delta=23573/1000000000 v=-444241/500000
135 k=184 r=-571183/2500000 delta=11873/1000000000 v=152667/250000
136 k=184 r=1030151/5000000 delta=11923/1000000000 v=679203/1000000
137 k=184 r=6373543/10000000 delta=589/50000000 v=-25929/31250
138 k=185 r=-2526309/5000000 delta=1183/100000000 v=-435191/1000000
139 k=185 r=-801667/10000000 delta=11973/1000000000 v=37961/40000
140 k=185 r=854697/2500000 delta=1183/100000000 v=50471/250000
141 k=185 r=7609157/10000000 delta=11823/1000000000 v=-995209/1000000
142 k=186 r=-492249/1250000 delta=11837/1000000000 v=-11/2500
143 k=186 r=9681/500000 delta=11837/1000000000 v=498501/500000
144 k=186 r=4296383/10000000 delta=1477/125000000 v=-7361/50000
145 k=187 r=-458571/625000 delta=11859/1000000000 v=-489353/500000
146 k=187 r=-822679/2500000 delta=11809/1000000000 v=251771/1000000
147 k=187 r=728033/10000000 delta=5947/500000000 v=119737/125000
148 k=187 r=4719581/10000000 delta=11809/1000000000 v=-38969/125000
149 k=188 r=-7023681/10000000 delta=2963/250000000 v=-945353/1000000
150 k=188 r=-3085591/10000000 delta=5901/500000000 v=165121/500000
151 k=188 r=826417/10000000 delta=5951/500000000 v=945859/1000000
152 k=188 r=4712579/10000000 delta=747/62500000 v=-309089/1000000
153 k=189 r=-1426943/2000000 delta=2389/200000000 v=-958897/1000000
154 k=189 r=-659837/2000000 delta=2359/200000000 v=248491/1000000
155 k=189 r=511499/10000000 delta=2389/200000000 v=489571/500000
156 k=189 r=1074423/2500000 delta=5929/500000000 v=-73869/500000
157 k=190 r=-7648277/10000000 delta=11887/1000000000 v=-996617/1000000
158 k=190 r=-782037/2000000 delta=5933/500000000 v=3361/500000
159 k=190 r=-48911/2500000 delta=11887/1000000000 v=996939/1000000
160 k=190 r=3495583/10000000 delta=11887/1000000000 v=42927/250000
161 k=190 r=716379/1000000 delta=11837/1000000000 v=-240533/250000
162 k=191 r=-4898633/10000000 delta=11823/1000000000 v=-189473/500000
163 k=191 r=-318881/2500000 delta=11973/1000000000 v=436321/500000
164 k=191 r=581347/2500000 delta=297/25000000 v=59771/100000
165 k=191 r=14761/25000 delta=11973/1000000000 v=-711031/1000000
166 k=192 r=-78077/125000 delta=11923/1000000000 v=-800223/1000000
167 k=192 r=-677517/2500000 delta=297/25000000 v=467773/1000000
168 k=192 r=201207/2500000 delta=11823/1000000000 v=474313/500000
169 k=192 r=2149471/5000000 delta=1193/100000000 v=-18529/125000
170 k=192 r=777239/1000000 delta=589/50000000 v=-999467/1000000
171 k=193 r=-70039/156250 delta=2979/250000000 v=-110189/500000
172 k=193 r=-1049553/10000000 delta=11887/1000000000 v=456581/500000
173 k=193 r=2363489/10000000 delta=2979/250000000 v=292711/500000
174 k=193 r=1439217/2500000 delta=11887/1000000000 v=-334161/500000
175 k=194 r=-3288573/5000000 delta=11809/1000000000 v=-436193/500000
176 k=194 r=-201403/625000 delta=1493/125000000 v=139051/500000
177 k=194 r=113291/10000000 delta=11909/1000000000 v=998973/1000000
178 k=194 r=3430191/10000000 delta=11809/1000000000 v=39483/200000
179 k=194 r=1345709/2000000 delta=11859/1000000000 v=-900371/1000000
180 k=195 r=-1424873/2500000 delta=11851/1000000000 v=-26043/40000
181 k=195 r=-2437699/10000000 delta=5901/500000000 v=280551/500000
182 k=195 r=403039/5000000 delta=5901/500000000 v=237117/250000
183 k=195 r=2016067/5000000 delta=747/62500000 v=-8409/200000
184 k=195 r=3620293/5000000 delta=747/62500000 v=-19401/20000
185 k=196 r=-2638147/5000000 delta=2961/250000000 v=-513897/1000000
186 k=196 r=-105123/500000 delta=11909/1000000000 v=66673/100000
187 k=196 r=1054417/10000000 delta=2961/250000000 v=912367/1000000
188 k=196 r=2097199/5000000 delta=11959/1000000000 v=-106759/1000000
189 k=196 r=292711/400000 delta=2961/250000000 v=-977087/1000000
190 k=197 r=-2641677/5000000 delta=2979/250000000 v=-516317/1000000
191 k=197 r=-219277/1000000 delta=1477/125000000 v=639377/1000000
192 k=197 r=110203/1250000 delta=5983/500000000 v=938461/1000000
193 k=197 r=1970031/5000000 delta=11787/1000000000 v=-1307/250000
194 k=197 r=3491361/5000000 delta=11787/1000000000 v=-187977/200000
195 k=198 r=-2849121/5000000 delta=589/50000000 v=-81337/125000
196 k=198 r=-2686727/10000000 delta=1183/100000000 v=119001/250000
197 k=198 r=309481/10000000 delta=11873/1000000000 v=248087/250000
198 k=198 r=3290499/10000000 delta=11923/1000000000 v=50371/200000
199 k=198 r=6256503/10000000 delta=1193/100000000 v=-401349/500000
200 k=199 r=-6500351/10000000 delta=11973/1000000000 v=-856961/1000000
201 k=199 r=-3563901/10000000 delta=589/50000000 v=72363/500000
202 k=199 r=-642111/10000000 delta=1193/100000000 v=241799/250000
203 k=199 r=2265313/10000000 delta=297/25000000 v=771/1250
204 k=199 r=515843/1000000 delta=11873/1000000000 v=-472897/1000000
205 k=200 r=-3835273/5000000 delta=5983/500000000 v=-997309/1000000
206 k=200 r=-480557/1000000 delta=11887/1000000000 v=-172121/500000
207 k=200 r=-195449/1000000 delta=5983/500000000 v=709649/1000000
208 k=200 r=882873/10000000 delta=2979/250000000 v=58643/62500
209 k=200 r=926659/2500000 delta=1477/125000000 v=22007/250000
210 k=200 r=1629229/2500000 delta=5983/500000000 v=-860357/1000000
211 k=201 r=-6394131/10000000 delta=2359/200000000 v=-834297/1000000
212 k=201 r=-1805231/5000000 delta=2369/200000000 v=63137/500000
213 k=201 r=-104983/1250000 delta=5979/500000000 v=944099/1000000
214 k=201 r=1917783/10000000 delta=2389/200000000 v=719917/1000000
215 k=201 r=932507/2000000 delta=369/31250000 v=-289991/1000000
216 k=201 r=7394571/10000000 delta=2389/200000000 v=-983163/1000000
217 k=202 r=-1118803/2000000 delta=5951/500000000 v=-309241/500000
218 k=202 r=-2887119/10000000 delta=747/62500000 v=202029/500000
219 k=202 r=-192587/10000000 delta=5951/500000000 v=498517/500000
220 k=202 r=62241/250000 delta=5901/500000000 v=108757/200000
221 k=202 r=5159739/10000000 delta=5901/500000000 v=-236679/500000
222 k=202 r=781771/1000000 delta=5951/500000000 v=-199979/200000
223 k=203 r=-327761/625000 delta=1493/125000000 v=-251417/500000
224 k=203 r=-2609931/10000000 delta=11959/1000000000 v=50279/100000
225 k=203 r=12597/10000000 delta=11959/1000000000 v=999987/1000000
226 k=203 r=1311719/5000000 delta=23609/1000000000 v=498113/1000000
227 k=203 r=5222799/10000000 delta=11959/1000000000 v=-7741/15625
228 k=203 r=1952677/2500000 delta=5897/500000000 v=-19997/20000
229 k=204 r=-106413/200000 delta=11887/1000000000 v=-132259/250000
230 k=204 r=-2755289/10000000 delta=2979/250000000 v=45171/100000
231 k=204 r=-6283/312500 delta=2979/250000000 v=31149/31250
232 k=204 r=585527/2500000 delta=11837/1000000000 v=296167/500000
233 k=204 r=4874381/10000000 delta=5933/500000000 v=-369951/1000000
234 k=204 r=369791/500000 delta=11937/1000000000 v=-491627/500000
235 k=205 r=-5801477/10000000 delta=11923/1000000000 v=-42593/62500
236 k=205 r=-825367/2500000 delta=11873/1000000000 v=247607/1000000
237 k=205 r=-812057/10000000 delta=1193/100000000 v=947707/1000000
238 k=205 r=2667/16000 delta=297/25000000 v=196459/250000
239 k=205 r=827089/2000000 delta=1183/100000000 v=-16657/200000
240 k=205 r=412107/625000 delta=11823/1000000000 v=-437803/500000
241 k=206 r=-6666229/10000000 delta=11823/1000000000 v=-889247/1000000
242 k=206 r=-4228333/10000000 delta=11823/1000000000 v=-24049/200000
243 k=206 r=-360101/2000000 delta=11973/1000000000 v=751673/1000000
244 k=206 r=308687/5000000 delta=589/50000000 v=969663/1000000
245 k=206 r=756333/2500000 delta=23573/1000000000 v=70579/200000
246 k=206 r=5423517/10000000 delta=1183/100000000 v=-112699/200000
247 k=206 r=3905979/5000000 delta=1183/100000000 v=-999859/1000000
248 k=207 r=-275861/500000 delta=2363/200000000 v=-74257/125000
249 k=207 r=-3148031/10000000 delta=2947/250000000 v=306567/1000000
250 k=207 r=-394131/5000000 delta=5919/500000000 v=475351/500000
