M=66 sgn=1 N=100 J=7 psi=233983/1000000
56 k=42 r=1931807/5000000 delta=37/6250000 v=6337/250000
57 k=42 r=1696011/2500000 delta=27/6250000 v=-56863/62500
58 k=43 r=-3027141/5000000 delta=621/100000000 v=-150377/200000
59 k=43 r=-32337/100000 delta=381/100000000 v=10951/40000
60 k=43 r=-230263/5000000 delta=191/50000000 v=983081/1000000
61 k=43 r=2266809/10000000 delta=201/50000000 v=616329/1000000
62 k=43 r=989959/2000000 delta=271/50000000 v=-99451/250000
63 k=43 r=7589851/10000000 delta=521/100000000 v=-124303/125000
64 k=44 r=-5519633/10000000 delta=533/100000000 v=-37177/62500
65 k=44 r=-1480721/5000000 delta=453/100000000 v=376689/1000000
66 k=44 r=-442309/10000000 delta=39/10000000 v=98439/100000
67 k=44 r=101947/500000 delta=57/10000000 v=685449/1000000
68 k=44 r=448343/1000000 delta=63/10000000 v=-110371/500000
69 k=44 r=6892231/10000000 delta=67/10000000 v=-926911/1000000
70 k=45 r=-644159/1000000 delta=399/100000000 v=-211153/250000
71 k=45 r=-32809/80000 delta=63/12500000 v=-69597/1000000
72 k=45 r=-358679/2000000 delta=539/100000000 v=150709/200000
73 k=45 r=482503/10000000 delta=399/100000000 v=981433/1000000
74 k=45 r=545487/2000000 delta=73/12500000 v=230811/500000
75 k=45 r=2471117/5000000 delta=579/100000000 v=-395027/1000000
76 k=45 r=445481/625000 delta=419/100000000 v=-958097/1000000
77 k=46 r=-3211687/5000000 delta=137/25000000 v=-52543/62500
78 k=46 r=-536789/1250000 delta=127/25000000 v=-183/1250
79 k=46 r=-2192373/10000000 delta=87/25000000 v=1279/2000
80 k=46 r=-58437/5000000 delta=117/25000000 v=998907/1000000
81 k=46 r=966421/5000000 delta=67/20000000 v=178931/250000
82 k=46 r=3957407/10000000 delta=97/25000000 v=-6083/500000
83 k=46 r=744679/1250000 delta=157/25000000 v=-362893/500000
84 k=47 r=-388723/500000 delta=349/50000000 v=-499747/500000
85 k=47 r=-2910887/5000000 delta=73/20000000 v=-687407/1000000
86 k=47 r=-486491/1250000 delta=121/20000000 v=561/40000
87 k=47 r=-248049/1250000 delta=279/50000000 v=175293/250000
88 k=47 r=-98657/10000000 delta=289/50000000 v=999221/1000000
89 k=47 r=1765769/10000000 delta=17/4000000 v=190191/250000
90 k=47 r=902341/2500000 delta=89/20000000 v=126709/1000000
91 k=47 r=5432587/10000000 delta=137/20000000 v=-566489/1000000
92 k=47 r=1808971/2500000 delta=101/20000000 v=-121199/125000
93 k=48 r=-3344139/5000000 delta=77/12500000 v=-446623/500000
94 k=48 r=-1230889/2500000 delta=129/25000000 v=-388153/1000000
95 k=48 r=-794377/2500000 delta=9/1562500 v=295323/1000000
96 k=48 r=-1449743/10000000 delta=149/25000000 v=836519/1000000
97 k=48 r=260117/10000000 delta=129/25000000 v=31081/31250
98 k=48 r=1952439/10000000 delta=31/6250000 v=710227/1000000
99 k=48 r=181379/500000 delta=367/100000000 v=59739/500000
100 k=48 r=2642943/5000000 delta=139/25000000 v=-103437/200000
