M=46 sgn=-1 N=100 J=4 psi=80837/200000
68 k=31 r=-1356969/5000000 delta=449/100000000 v=116601/250000
69 k=31 r=-258769/2500000 delta=449/100000000 v=915507/1000000
70 k=31 r=619629/10000000 delta=269/100000000 v=484721/500000
71 k=31 r=1125431/5000000 delta=177/50000000 v=31067/50000
72 k=31 r=48241/125000 delta=369/100000000 v=27081/1000000
73 k=31 r=680689/1250000 delta=269/100000000 v=-570741/1000000
74 k=31 r=3505081/5000000 delta=217/50000000 v=-117947/125000
75 k=32 r=-3577077/5000000 delta=399/100000000 v=-480537/500000
76 k=32 r=-5630953/10000000 delta=279/100000000 v=-25201/40000
77 k=32 r=-257979/625000 delta=379/100000000 v=-80183/1000000
78 k=32 r=-660943/2500000 delta=339/100000000 v=122761/250000
79 k=32 r=-36837/312500 delta=61/25000000 v=445441/500000
80 k=32 r=2092/78125 delta=299/100000000 v=994269/1000000
81 k=32 r=848183/5000000 delta=33/12500000 v=389243/500000
82 k=32 r=1553713/5000000 delta=259/100000000 v=64397/200000
83 k=32 r=4501383/10000000 delta=419/100000000 v=-227741/1000000
84 k=32 r=1175729/2000000 delta=29/6250000 v=-563/800
85 k=32 r=7239607/10000000 delta=61/25000000 v=-193991/200000
86 k=33 r=-7123311/10000000 delta=91/20000000 v=-957593/1000000
87 k=33 r=-5793817/10000000 delta=97/25000000 v=-679243/1000000
88 k=33 r=-4479517/10000000 delta=51/12500000 v=-13701/62500
89 k=33 r=-795017/2500000 delta=63/20000000 v=36793/125000
90 k=33 r=-947569/5000000 delta=67/20000000 v=363087/500000
91 k=33 r=-624407/10000000 delta=99/20000000 v=968971/1000000
92 k=33 r=158109/2500000 delta=71/20000000 v=242043/250000
93 k=33 r=1875691/10000000 delta=83/20000000 v=1463/2000
94 k=33 r=62113/200000 delta=79/20000000 v=161329/500000
95 k=33 r=135081/312500 delta=83/20000000 v=-157581/1000000
96 k=33 r=690849/1250000 delta=87/20000000 v=-149283/250000
97 k=33 r=419907/625000 delta=71/20000000 v=-449309/500000
98 k=34 r=-3904977/5000000 delta=173/50000000 v=-199969/200000
99 k=34 r=-6642431/10000000 delta=237/100000000 v=-221213/250000
100 k=34 r=-2743321/5000000 delta=203/50000000 v=-584173/1000000
