M=39 sgn=-1 N=100 J=3 psi=721/1000000
85 k=28 r=-1666569/2500000 delta=121/50000000 v=-177851/200000
86 k=28 r=-5525913/10000000 delta=181/50000000 v=-11937/20000
87 k=28 r=-1099683/2500000 delta=301/100000000 v=-187579/1000000
88 k=28 r=-656887/2000000 delta=351/100000000 v=127101/500000
89 k=28 r=-272841/1250000 delta=17/6250000 v=642461/1000000
90 k=28 r=-1093331/10000000 delta=141/50000000 v=181177/200000
91 k=28 r=-3993/2500000 delta=211/50000000 v=49999/50000
92 k=28 r=262403/2500000 delta=73/25000000 v=14268/15625
93 k=28 r=2103677/10000000 delta=191/50000000 v=666367/1000000
94 k=28 r=3146467/10000000 delta=39/12500000 v=153581/500000
95 k=28 r=4178223/10000000 delta=181/50000000 v=-25081/250000
96 k=28 r=207967/400000 delta=93/25000000 v=-243597/500000
97 k=28 r=3104773/5000000 delta=73/25000000 v=-158271/200000
98 k=28 r=1441911/2000000 delta=151/50000000 v=-966961/1000000
99 k=29 r=-938569/1250000 delta=201/100000000 v=-990469/1000000
100 k=29 r=-1632161/2500000 delta=171/50000000 v=-862739/1000000
