M=60 sgn=1 N=100 J=6 psi=-397439/1000000
46 k=37 r=-2952417/5000000 delta=289/50000000 v=-711153/1000000
47 k=37 r=-334863/1250000 delta=1/160000 v=239377/500000
48 k=37 r=119777/2500000 delta=109/20000000 v=981693/1000000
49 k=37 r=3572001/10000000 delta=289/50000000 v=141519/1000000
50 k=37 r=6602407/10000000 delta=117/20000000 v=-5483/6250
51 k=38 r=-3067581/5000000 delta=207/50000000 v=-772817/1000000
52 k=38 r=-3222449/10000000 delta=247/50000000 v=278101/1000000
53 k=38 r=-18261/500000 delta=267/50000000 v=247337/250000
54 k=38 r=12193/50000 delta=167/50000000 v=140201/250000
55 k=38 r=5190971/10000000 delta=509/100000000 v=-242163/500000
56 k=39 r=-7814217/10000000 delta=13/2500000 v=-499937/500000
57 k=39 r=-64491/125000 delta=1/250000 v=-118299/250000
58 k=39 r=-2550519/10000000 delta=563/100000000 v=523189/1000000
59 k=39 r=6823/5000000 delta=363/100000000 v=199997/200000
60 k=39 r=1267357/5000000 delta=9/2500000 v=264283/500000
61 k=39 r=5014109/10000000 delta=9/2500000 v=-52659/125000
62 k=39 r=7453187/10000000 delta=3/625000 v=-987177/1000000
63 k=40 r=-234189/400000 delta=473/100000000 v=-17423/25000
64 k=40 r=-3492471/10000000 delta=49/10000000 v=86467/500000
65 k=40 r=-1166843/10000000 delta=41/10000000 v=893041/1000000
66 k=40 r=561639/5000000 delta=353/100000000 v=450373/500000
67 k=40 r=3378959/10000000 delta=513/100000000 v=217461/1000000
68 k=40 r=2800611/5000000 delta=593/100000000 v=-124149/200000
69 k=40 r=3895521/5000000 delta=593/100000000 v=-999683/1000000
70 k=41 r=-5758611/10000000 delta=191/50000000 v=-668841/1000000
71 k=41 r=-726183/2000000 delta=461/100000000 v=59077/500000
72 k=41 r=-1532979/10000000 delta=251/50000000 v=163563/200000
73 k=41 r=536019/10000000 delta=191/50000000 v=977103/1000000
74 k=41 r=2576867/10000000 delta=541/100000000 v=257089/500000
75 k=41 r=57379/125000 delta=271/50000000 v=-262229/1000000
76 k=41 r=411069/625000 delta=191/50000000 v=-436189/500000
77 k=42 r=-7170047/10000000 delta=491/100000000 v=-962811/1000000
78 k=42 r=-654317/1250000 delta=451/100000000 v=-499497/1000000
79 k=42 r=-1661841/5000000 delta=39/12500000 v=59747/250000
80 k=42 r=-287373/2000000 delta=411/100000000 v=83933/100000
81 k=42 r=426513/10000000 delta=39/12500000 v=492741/500000
82 k=42 r=2267027/10000000 delta=331/100000000 v=616261/1000000
83 k=42 r=4085231/10000000 delta=571/100000000 v=-31627/500000
84 k=42 r=294083/500000 delta=611/100000000 v=-352303/500000
85 k=42 r=1914207/2500000 delta=39/12500000 v=-249223/250000
86 k=43 r=-6296729/10000000 delta=281/50000000 v=-812189/1000000
87 k=43 r=-2281303/5000000 delta=521/100000000 v=-62879/250000
88 k=43 r=-2848301/10000000 delta=521/100000000 v=104553/250000
89 k=43 r=-144171/1250000 delta=201/50000000 v=447727/500000
90 k=43 r=522627/10000000 delta=201/50000000 v=244557/250000
91 k=43 r=1090051/5000000 delta=301/50000000 v=128653/200000
92 k=43 r=3819463/10000000 delta=221/50000000 v=21499/500000
93 k=43 r=54411/100000 delta=261/50000000 v=-569291/1000000
94 k=43 r=3522697/5000000 delta=241/50000000 v=-948149/1000000
95 k=44 r=-7075253/10000000 delta=533/100000000 v=-475939/500000
96 k=44 r=-2752279/5000000 delta=533/100000000 v=-294987/500000
97 k=44 r=-197507/500000 delta=453/100000000 v=-463/50000
98 k=44 r=-482333/2000000 delta=453/100000000 v=569691/1000000
99 k=44 r=-888809/10000000 delta=31/10000000 v=117183/125000
100 k=44 r=618741/10000000 delta=493/100000000 v=969529/1000000
