M=84 sgn=-1 N=100 J=11 psi=134393/250000
61 k=55 r=-1998399/10000000 delta=511/100000000 v=348583/500000
62 k=55 r=1416311/10000000 delta=711/100000000 v=843771/1000000
63 k=55 r=2388191/5000000 delta=163/25000000 v=-333257/1000000
64 k=56 r=-3812213/5000000 delta=341/50000000 v=-995787/1000000
65 k=56 r=-4368547/10000000 delta=281/50000000 v=-87853/500000
66 k=56 r=-581189/5000000 delta=521/100000000 v=893843/1000000
67 k=56 r=1995577/10000000 delta=681/100000000 v=27919/40000
68 k=56 r=1021349/2000000 delta=801/100000000 v=-454581/1000000
69 k=57 r=-7535471/10000000 delta=831/100000000 v=-198379/200000
70 k=57 r=-1128459/2500000 delta=511/100000000 v=-58147/250000
71 k=57 r=-1535063/10000000 delta=153/25000000 v=163467/200000
72 k=57 r=21907/156250 delta=711/100000000 v=42341/50000
73 k=57 r=2149323/5000000 delta=511/100000000 v=-29623/200000
74 k=57 r=7155833/10000000 delta=193/25000000 v=-48063/50000
75 k=58 r=-358331/625000 delta=37/5000000 v=-661279/1000000
76 k=58 r=-2951799/10000000 delta=27/5000000 v=380259/1000000
77 k=58 r=-206661/10000000 delta=33/5000000 v=199317/200000
78 k=58 r=1251527/5000000 delta=31/5000000 v=269637/500000
79 k=58 r=5178249/10000000 delta=423/100000000 v=-479867/1000000
80 k=58 r=7819793/10000000 delta=29/5000000 v=-499953/500000
81 k=59 r=-5279441/10000000 delta=217/50000000 v=-16093/31250
82 k=59 r=-2702721/10000000 delta=449/100000000 v=14699/31250
83 k=59 r=-39309/2500000 delta=809/100000000 v=998023/1000000
84 k=59 r=589441/2500000 delta=889/100000000 v=587277/1000000
85 k=59 r=4843001/10000000 delta=237/50000000 v=-358261/1000000
86 k=59 r=7299169/10000000 delta=397/50000000 v=-243869/250000
87 k=60 r=-2990511/5000000 delta=359/50000000 v=-146449/200000
88 k=60 r=-895249/2500000 delta=379/50000000 v=137957/1000000
89 k=60 r=-1208089/10000000 delta=113/20000000 v=110687/125000
90 k=60 r=8893/78125 delta=113/20000000 v=22453/25000
91 k=60 r=345877/1000000 delta=177/20000000 v=37239/200000
92 k=60 r=46031/80000 delta=129/20000000 v=-667431/1000000
93 k=61 r=-1920949/2500000 delta=31/4000000 v=-249421/250000
94 k=61 r=-2718893/5000000 delta=131/20000000 v=-568201/1000000
95 k=61 r=-3215543/10000000 delta=147/20000000 v=140377/500000
96 k=61 r=-101657/1000000 delta=147/20000000 v=45923/50000
97 k=61 r=18119/156250 delta=131/20000000 v=447169/500000
98 k=61 r=3313481/10000000 delta=131/20000000 v=60737/250000
99 k=61 r=5445479/10000000 delta=107/25000000 v=-570731/1000000
100 k=61 r=7556049/10000000 delta=139/20000000 v=-992907/1000000
