Mn=525 den=2 N=250 errco=8780 C250=2597607/250000
120 k=200 r=198807/10000000 delta=6633/500000000 v=24921/25000
121 k=200 r=1128979/2000000 delta=13187/1000000000 v=-317173/500000
122 k=201 r=-4661803/10000000 delta=1651/125000000 v=-289711/1000000
123 k=201 r=695363/10000000 delta=2639/200000000 v=480783/500000
124 k=201 r=120183/200000 delta=6629/500000000 v=-739861/1000000
125 k=202 r=-2213841/5000000 delta=13251/1000000000 v=-9947/50000
126 k=202 r=16029/200000 delta=6651/500000000 v=949053/1000000
127 k=202 r=5989171/10000000 delta=13301/1000000000 v=-734461/1000000
128 k=203 r=-1142923/2500000 delta=6597/500000000 v=-31879/125000
129 k=203 r=535377/10000000 delta=13159/1000000000 v=977157/1000000
130 k=203 r=5602939/10000000 delta=6647/500000000 v=-621283/1000000
131 k=204 r=-2538123/5000000 delta=13237/1000000000 v=-443681/1000000
132 k=204 r=-85727/10000000 delta=13137/1000000000 v=249853/250000
133 k=204 r=4867123/10000000 delta=13137/1000000000 v=-91813/250000
134 k=205 r=-5925101/10000000 delta=26323/1000000000 v=-716829/1000000
135 k=205 r=-209183/2000000 delta=13223/1000000000 v=456877/500000
136 k=205 r=151891/400000 delta=83/6250000 v=51863/1000000
137 k=206 r=-1420587/2000000 delta=13223/1000000000 v=-955213/1000000
138 k=206 r=-93209/400000 delta=83/6250000 v=596157/1000000
139 k=206 r=75253/312500 delta=13323/1000000000 v=35679/62500
140 k=206 r=284497/400000 delta=83/6250000 v=-956329/1000000
141 k=207 r=-784949/2000000 delta=2633/200000000 v=449/500000
142 k=207 r=142621/2000000 delta=2633/200000000 v=479797/500000
143 k=207 r=1063681/2000000 delta=2633/200000000 v=-528273/1000000
144 k=208 r=-2908207/5000000 delta=2659/200000000 v=-685849/1000000
145 k=208 r=-318709/2500000 delta=2649/200000000 v=872777/1000000
146 k=208 r=202219/625000 delta=6629/500000000 v=273081/1000000
147 k=208 r=7715001/10000000 delta=1651/125000000 v=-199691/200000
148 k=209 r=-442973/1250000 delta=13151/1000000000 v=152683/1000000
149 k=209 r=875469/10000000 delta=13201/1000000000 v=234827/250000
