Mn=416 den=1 sgn=1 N=900 eps=10000 J=106 psi=-573247/250000 u900=-624/625 d900=163/7812500 r900=-508553/1250000 k900=451
1 k=0 r=573247/1000000 delta=1/1000000000 v=-661031/1000000
28 k=221 r=-5867/250000 delta=2611/125000000 v=995597/1000000
29 k=223 r=968869/2000000 delta=209/10000000 v=-179381/500000
30 k=226 r=-1404397/2000000 delta=20979/1000000000 v=-236283/250000
31 k=228 r=-867283/2000000 delta=10419/500000000 v=-163039/1000000
32 k=230 r=-1366847/5000000 delta=419/20000000 v=459399/1000000
33 k=232 r=-536789/2500000 delta=20867/1000000000 v=653299/1000000
34 k=234 r=-2515963/10000000 delta=20921/1000000000 v=267459/500000
35 k=236 r=-3784889/10000000 delta=653/31250000 v=5681/100000
36 k=238 r=-147577/250000 delta=20893/1000000000 v=-35533/50000
37 k=239 r=6883917/10000000 delta=20817/1000000000 v=-462829/500000
38 k=241 r=1601459/5000000 delta=20971/1000000000 v=285597/1000000
39 k=243 r=-149811/1250000 delta=10423/500000000 v=443637/500000
40 k=245 r=-6283903/10000000 delta=20943/1000000000 v=-404593/500000
41 k=246 r=1844219/5000000 delta=4167/200000000 v=23819/250000
42 k=248 r=-20828/78125 delta=10491/500000000 v=96657/200000
43 k=249 r=1524443/2500000 delta=10457/500000000 v=-19081/25000
44 k=251 r=-704537/5000000 delta=2613/125000000 v=422661/500000
45 k=252 r=3127337/5000000 delta=41/1953125 v=-802261/1000000
46 k=254 r=-575799/2500000 delta=833/40000000 v=604803/1000000
47 k=255 r=4355393/10000000 delta=5233/250000000 v=-170523/1000000
48 k=257 r=-2582499/5000000 delta=2607/125000000 v=-47521/100000
49 k=258 r=571007/10000000 delta=10427/500000000 v=974029/1000000
50 k=259 r=1468489/2500000 delta=20961/1000000000 v=-43901/62500
51 k=261 r=-4947267/10000000 delta=5207/250000000 v=-99219/250000
52 k=262 r=-230203/5000000 delta=20883/1000000000 v=98309/100000
53 k=263 r=3641759/10000000 delta=2099/100000000 v=22769/200000
54 k=264 r=7373579/10000000 delta=10453/500000000 v=-490797/500000
55 k=266 r=-4959283/10000000 delta=20911/1000000000 v=-401283/1000000
56 k=267 r=-1928007/10000000 delta=4197/200000000 v=717073/1000000
57 k=268 r=385807/5000000 delta=20877/1000000000 v=476373/500000
58 k=269 r=3151123/10000000 delta=20833/1000000000 v=305389/1000000
59 k=270 r=652667/1250000 delta=1047/50000000 v=-123729/250000
60 k=271 r=1748189/2500000 delta=5239/250000000 v=-14707/15625
61 k=273 r=-3616349/5000000 delta=10431/500000000 v=-969279/1000000
62 k=274 r=-6029741/10000000 delta=20969/1000000000 v=-745377/1000000
63 k=275 r=-5097289/10000000 delta=20927/1000000000 v=-451209/1000000
64 k=276 r=-221351/500000 delta=1041/50000000 v=-198681/1000000
65 k=277 r=-802123/2000000 delta=2089/100000000 v=-33443/1000000
66 k=278 r=-1920189/5000000 delta=20997/1000000000 v=17319/500000
67 k=279 r=-1954463/5000000 delta=10449/500000000 v=3613/500000
68 k=280 r=-841837/2000000 delta=5203/250000000 v=-56319/500000
69 k=281 r=-1183599/2500000 delta=20919/1000000000 v=-317377/1000000
70 k=282 r=-171191/312500 delta=20977/1000000000 v=-2907/5000
71 k=283 r=-6434091/10000000 delta=2087/100000000 v=-421501/500000
72 k=284 r=-3798151/5000000 delta=20841/1000000000 v=-994693/1000000
73 k=284 r=674873/1000000 delta=20841/1000000000 v=-180771/200000
74 k=285 r=5190591/10000000 delta=5237/250000000 v=-484193/1000000
75 k=286 r=3442651/10000000 delta=5237/250000000 v=96263/500000
76 k=287 r=23589/156250 delta=20841/1000000000 v=41157/50000
77 k=288 r=-603283/10000000 delta=20869/1000000000 v=38841/40000
78 k=289 r=-289171/1000000 delta=1311/62500000 v=402377/1000000
79 k=290 r=-2675557/5000000 delta=20919/1000000000 v=-539337/1000000
80 k=290 r=3865419/5000000 delta=20919/1000000000 v=-998787/1000000
81 k=291 r=197691/400000 delta=5203/250000000 v=-197521/500000
82 k=292 r=124701/625000 delta=10449/500000000 v=349039/500000
83 k=293 r=-276623/2500000 delta=10499/500000000 v=903643/1000000
84 k=294 r=-4359259/10000000 delta=41691/1000000000 v=-172047/1000000
85 k=295 r=-3879697/5000000 delta=20819/1000000000 v=-249821/250000
86 k=295 r=2202223/5000000 delta=20819/1000000000 v=-189823/1000000
87 k=296 r=719819/10000000 delta=20927/1000000000 v=479417/500000
88 k=297 r=-3102297/10000000 delta=20969/1000000000 v=323927/1000000
89 k=298 r=-352939/500000 delta=10431/500000000 v=-949837/1000000
90 k=298 r=1140363/2500000 delta=10431/500000000 v=-251069/1000000
91 k=299 r=345333/10000000 delta=2603/62500000 v=39619/40000
