M=108 sgn=1 N=100 J=16 psi=-666873/500000
40 k=64 r=-747229/1250000 delta=567/100000000 v=-5851/8000
41 k=64 r=689173/10000000 delta=687/100000000 v=962243/1000000
42 k=64 r=899439/1250000 delta=229/25000000 v=-965513/1000000
43 k=65 r=-2159217/10000000 delta=189/20000000 v=649639/1000000
44 k=65 r=4047953/10000000 delta=149/20000000 v=-24183/500000
45 k=66 r=-5592339/10000000 delta=949/100000000 v=-123591/200000
46 k=66 r=170983/5000000 delta=1029/100000000 v=990659/1000000
47 k=66 r=6148641/10000000 delta=547/50000000 v=-194057/250000
48 k=67 r=-1937451/5000000 delta=1003/100000000 v=10417/500000
49 k=67 r=846153/5000000 delta=13/1250000 v=48719/62500
50 k=67 r=7147037/10000000 delta=1043/100000000 v=-240071/250000
51 k=68 r=-3214217/10000000 delta=753/100000000 v=281263/1000000
52 k=68 r=1014333/5000000 delta=913/100000000 v=172109/250000
53 k=68 r=7171679/10000000 delta=953/100000000 v=-240747/250000
54 k=69 r=-27261/78125 delta=291/50000000 v=174141/1000000
55 k=69 r=1464859/10000000 delta=901/100000000 v=833191/1000000
56 k=69 r=49452/78125 delta=981/100000000 v=-102481/125000
57 k=70 r=-2299611/5000000 delta=89/12500000 v=-4151/15625
58 k=70 r=96549/10000000 delta=971/100000000 v=499627/500000
59 k=70 r=2356023/5000000 delta=611/100000000 v=-308887/1000000
60 k=71 r=-1614499/2500000 delta=321/50000000 v=-848107/1000000
61 k=71 r=-498771/2500000 delta=341/50000000 v=174529/250000
62 k=71 r=299407/1250000 delta=441/50000000 v=575073/1000000
63 k=71 r=6715349/10000000 delta=801/100000000 v=-449031/500000
64 k=72 r=-2370279/5000000 delta=893/100000000 v=-319713/1000000
65 k=72 r=-138607/2500000 delta=733/100000000 v=975509/1000000
66 k=72 r=356779/1000000 delta=63/10000000 v=71593/500000
67 k=72 r=476751/625000 delta=91/10000000 v=-497959/500000
68 k=73 r=-2039937/5000000 delta=1059/100000000 v=-12223/200000
69 k=73 r=-69099/5000000 delta=1059/100000000 v=124809/125000
70 k=73 r=3746761/10000000 delta=659/100000000 v=72029/1000000
71 k=73 r=7576613/10000000 delta=103/12500000 v=-248463/250000
72 k=74 r=-871013/2000000 delta=111/12500000 v=-85197/500000
73 k=74 r=-157717/2500000 delta=81/12500000 v=968329/1000000
74 k=74 r=1521329/5000000 delta=199/20000000 v=173201/500000
75 k=74 r=6666873/10000000 delta=121/12500000 v=-222341/250000
76 k=75 r=-5464879/10000000 delta=339/50000000 v=-115417/200000
77 k=75 r=-1935417/10000000 delta=439/50000000 v=178751/250000
78 k=75 r=1548503/10000000 delta=399/50000000 v=407113/500000
79 k=75 r=124701/250000 delta=113/20000000 v=-25737/62500
80 k=76 r=-7323653/10000000 delta=747/100000000 v=-61099/62500
81 k=76 r=-992393/2500000 delta=9/1562500 v=-2129/125000
82 k=76 r=-656647/10000000 delta=587/100000000 v=965703/1000000
83 k=76 r=65403/250000 delta=1027/100000000 v=500649/1000000
84 k=76 r=1462423/2500000 delta=1107/100000000 v=-27819/40000
85 k=77 r=-832871/1250000 delta=587/100000000 v=-888649/1000000
86 k=77 r=-3505037/10000000 delta=1027/100000000 v=167981/1000000
87 k=77 r=-76723/2000000 delta=7/781250 v=3953/4000
88 k=77 r=2702133/10000000 delta=117/12500000 v=29411/62500
89 k=77 r=5753013/10000000 delta=747/100000000 v=-333587/500000
90 k=78 r=-6938159/10000000 delta=379/50000000 v=-933649/1000000
91 k=78 r=-247169/625000 delta=559/50000000 v=-2217/200000
92 k=78 r=-200771/2000000 delta=399/50000000 v=920459/1000000
93 k=78 r=1915093/10000000 delta=499/50000000 v=90083/125000
94 k=78 r=4802821/10000000 delta=439/50000000 v=-34321/100000
95 k=78 r=765999/1000000 delta=479/50000000 v=-996991/1000000
96 k=79 r=-2610361/5000000 delta=121/12500000 v=-247351/500000
97 k=79 r=-2422769/10000000 delta=53/6250000 v=113207/200000
98 k=79 r=173243/5000000 delta=53/6250000 v=990411/1000000
99 k=79 r=1543813/5000000 delta=111/20000000 v=164737/500000
100 k=79 r=5801217/10000000 delta=29/3125000 v=-170353/250000
