Mn=561 den=2 N=250 errco=10013 C250=3142621/500000
54 k=178 r=1257603/10000000 delta=7087/500000000 v=21903/25000
55 k=179 r=-791527/5000000 delta=1777/125000000 v=6449/8000
56 k=180 r=-581943/1250000 delta=14159/1000000000 v=-143657/500000
57 k=180 r=7756301/10000000 delta=7047/500000000 v=-999237/1000000
58 k=181 r=4244337/10000000 delta=1769/125000000 v=-63299/500000
59 k=182 r=261911/5000000 delta=2809/200000000 v=978129/1000000
60 k=183 r=-1699081/5000000 delta=2833/200000000 v=104979/500000
61 k=184 r=-3757477/5000000 delta=1403/100000000 v=-990819/1000000
62 k=184 r=1943861/5000000 delta=14173/1000000000 v=15707/1000000
63 k=185 r=-599961/10000000 delta=11/781250 v=485671/500000
64 k=186 r=-5264429/10000000 delta=14037/1000000000 v=-25491/50000
65 k=186 r=5607891/10000000 delta=3529/250000000 v=-311417/500000
66 k=187 r=303131/5000000 delta=14159/1000000000 v=48537/50000
67 k=188 r=-2278187/5000000 delta=7101/500000000 v=-124551/500000
68 k=188 r=1166543/2000000 delta=1769/125000000 v=-690579/1000000
69 k=189 r=362161/10000000 delta=111/7812500 v=39581/40000
70 k=190 r=-5255727/10000000 delta=14087/1000000000 v=-253411/500000
71 k=190 r=586403/1250000 delta=7033/500000000 v=-150477/500000
72 k=191 r=-604423/5000000 delta=14223/1000000000 v=177071/200000
73 k=192 r=-3622129/5000000 delta=11/781250 v=-485203/500000
74 k=192 r=2296669/10000000 delta=11/781250 v=3793/6250
75 k=193 r=-1999173/5000000 delta=1777/125000000 v=-14269/500000
76 k=193 r=5289851/10000000 delta=14037/1000000000 v=-518541/1000000
77 k=194 r=-625651/5000000 delta=7047/500000000 v=877333/1000000
78 k=194 r=7797207/10000000 delta=14059/1000000000 v=-499871/500000
79 k=195 r=255617/2500000 delta=7101/500000000 v=229381/250000
80 k=196 r=-1466153/2500000 delta=14109/1000000000 v=-699751/1000000
81 k=196 r=1423333/5000000 delta=14059/1000000000 v=209403/500000
82 k=197 r=-425689/1000000 delta=14137/1000000000 v=-131577/1000000
83 k=197 r=2121621/5000000 delta=14037/1000000000 v=-126163/1000000
84 k=198 r=-1533223/5000000 delta=28073/1000000000 v=337461/1000000
85 k=198 r=2616231/5000000 delta=1403/100000000 v=-249389/500000
86 k=199 r=-2273681/10000000 delta=1413/100000000 v=307081/500000
87 k=199 r=29167/50000 delta=11/781250 v=-690777/1000000
88 k=200 r=-465047/2500000 delta=1777/125000000 v=147143/200000
89 k=200 r=6063587/10000000 delta=14087/1000000000 v=-377167/500000
90 k=201 r=-18091/100000 delta=3527/250000000 v=749401/1000000
91 k=201 r=742451/1250000 delta=5649/200000000 v=-720863/1000000
92 k=202 r=-2104359/10000000 delta=7101/500000000 v=666163/1000000
93 k=202 r=342299/625000 delta=14101/1000000000 v=-72621/125000
94 k=203 r=-27311/100000 delta=3511/250000000 v=460321/1000000
95 k=203 r=2344799/5000000 delta=14159/1000000000 v=-150167/500000
96 k=204 r=-1837683/5000000 delta=1777/125000000 v=314/3125
97 k=204 r=3591547/10000000 delta=14037/1000000000 v=5351/40000
98 k=205 r=-2462023/5000000 delta=709/50000000 v=-388333/1000000
99 k=205 r=87813/400000 delta=14073/1000000000 v=638591/1000000
100 k=206 r=-3232433/5000000 delta=14223/1000000000 v=-21239/25000
101 k=206 r=128213/2500000 delta=14223/1000000000 v=122379/125000
102 k=206 r=3710889/5000000 delta=11/781250 v=-985093/1000000
103 k=207 r=-18059/125000 delta=7069/500000000 v=418809/500000
104 k=207 r=5330687/10000000 delta=2813/200000000 v=-266219/500000
105 k=208 r=-458333/1250000 delta=2829/200000000 v=103943/1000000
106 k=208 r=1490137/5000000 delta=7029/500000000 v=369701/1000000
107 k=209 r=-1535773/2500000 delta=14051/1000000000 v=-387413/500000
108 k=209 r=47527/1250000 delta=14051/1000000000 v=988457/1000000
109 k=209 r=6843357/10000000 delta=7051/500000000 v=-459699/500000
110 k=210 r=-2460441/10000000 delta=7047/500000000 v=553549/1000000
111 k=210 r=1942901/5000000 delta=14209/1000000000 v=659/40000
112 k=211 r=-5532931/10000000 delta=14037/1000000000 v=-5991/10000
113 k=211 r=2189/31250 delta=14137/1000000000 v=480501/500000
114 k=211 r=3439457/5000000 delta=1777/125000000 v=-924899/1000000
115 k=212 r=-2704543/10000000 delta=14179/1000000000 v=18789/40000
116 k=212 r=21043/62500 delta=7037/500000000 v=8887/40000
117 k=213 r=-3160847/5000000 delta=3543/250000000 v=-32719/40000
118 k=213 r=-70713/2000000 delta=14131/1000000000 v=15469/15625
119 k=213 r=5564143/10000000 delta=7061/500000000 v=-609049/1000000
120 k=214 r=-85511/200000 delta=2833/200000000 v=-34743/250000
121 k=214 r=96499/625000 delta=1761/125000000 v=407637/500000
122 k=214 r=3657811/5000000 delta=7019/500000000 v=-976903/1000000
123 k=215 r=-2667827/10000000 delta=2819/200000000 v=482639/1000000
124 k=215 r=1505167/5000000 delta=7079/500000000 v=179251/500000
125 k=216 r=-7065049/10000000 delta=14151/1000000000 v=-950619/1000000
126 k=216 r=-369337/2500000 delta=7101/500000000 v=415209/500000
127 k=216 r=4066103/10000000 delta=3513/250000000 v=-869/15625
128 k=217 r=-767727/1250000 delta=14159/1000000000 v=-96813/125000
129 k=217 r=-684549/10000000 delta=7097/500000000 v=192549/200000
130 k=217 r=591313/1250000 delta=14059/1000000000 v=-3159/10000
131 k=218 r=-5603851/10000000 delta=1767/125000000 v=-621569/1000000
132 k=218 r=-2169/80000 delta=3509/250000000 v=7953/8000
133 k=218 r=5021349/10000000 delta=3509/250000000 v=-423897/1000000
134 k=219 r=-1358449/2500000 delta=28079/1000000000 v=-566887/1000000
135 k=219 r=-220037/10000000 delta=3531/250000000 v=996129/1000000
136 k=219 r=2477629/5000000 delta=7037/500000000 v=-6247/15625
137 k=220 r=-2807639/5000000 delta=7061/500000000 v=-625143/1000000
138 k=220 r=-515297/10000000 delta=1759/125000000 v=978833/1000000
139 k=220 r=2273969/5000000 delta=7111/500000000 v=-245833/1000000
140 k=221 r=-3066557/5000000 delta=1761/125000000 v=-772297/1000000
141 k=221 r=-1142037/10000000 delta=3547/250000000 v=448731/500000
142 k=221 r=3813837/10000000 delta=3547/250000000 v=22623/500000
143 k=222 r=-1394607/2000000 delta=7079/500000000 v=-469277/500000
144 k=222 r=-65197/312500 delta=7029/500000000 v=167883/250000
145 k=222 r=2766697/10000000 delta=2829/200000000 v=223817/500000
146 k=222 r=3793159/5000000 delta=2819/200000000 v=-497137/500000
147 k=223 r=-3334983/10000000 delta=14053/1000000000 v=58649/250000
148 k=223 r=709641/5000000 delta=14203/1000000000 v=843133/1000000
149 k=223 r=6141569/10000000 delta=141/10000000 v=-774441/1000000
150 k=224 r=-4875803/10000000 delta=14043/1000000000 v=-370479/1000000
151 k=224 r=-216277/10000000 delta=1411/100000000 v=49813/50000
152 k=224 r=275779/625000 delta=177/12500000 v=-192971/1000000
153 k=225 r=-6697123/10000000 delta=7043/500000000 v=-894831/1000000
154 k=225 r=-2128689/10000000 delta=14217/1000000000 v=329437/500000
155 k=225 r=2410151/10000000 delta=7043/500000000 v=570189/1000000
156 k=225 r=345991/500000 delta=14117/1000000000 v=-232749/250000
157 k=226 r=-134603/312500 delta=3531/250000000 v=-9471/62500
158 k=226 r=3627/250000 delta=14129/1000000000 v=998317/1000000
159 k=226 r=4569407/10000000 delta=3531/250000000 v=-63537/250000
160 k=227 r=-3371/5000 delta=7111/500000000 v=-9027/10000
161 k=227 r=-2372861/10000000 delta=14181/1000000000 v=582379/1000000
162 k=227 r=1969279/10000000 delta=14181/1000000000 v=705469/1000000
163 k=227 r=6284701/10000000 delta=14031/1000000000 v=-809373/1000000
164 k=228 r=-5134277/10000000 delta=7019/500000000 v=-232181/500000
165 k=228 r=-435689/5000000 delta=7069/500000000 v=939869/1000000
166 k=228 r=673157/2000000 delta=3547/250000000 v=111301/500000
167 k=228 r=3788781/5000000 delta=2823/200000000 v=-496947/500000
168 k=229 r=-985967/2500000 delta=3549/250000000 v=-6751/1000000
169 k=229 r=21791/1000000 delta=14057/1000000000 v=249051/250000
170 k=229 r=174203/400000 delta=7073/500000000 v=-85199/500000
171 k=230 r=-7239987/10000000 delta=14103/1000000000 v=-121249/125000
172 k=230 r=-3151069/10000000 delta=71/5000000 v=30541/100000
173 k=230 r=228537/2500000 delta=14103/1000000000 v=14592/15625
174 k=230 r=2477971/5000000 delta=71/5000000 v=-200029/500000
175 k=231 r=-6733367/10000000 delta=1421/100000000 v=-901209/1000000
176 k=231 r=-547529/2000000 delta=14043/1000000000 v=91599/200000
177 k=231 r=1235497/10000000 delta=14143/1000000000 v=880349/1000000
178 k=231 r=25931/50000 delta=1421/100000000 v=-96531/200000
179 k=232 r=-6593151/10000000 delta=7043/500000000 v=-875497/1000000
180 k=232 r=-2686487/10000000 delta=14067/1000000000 v=476089/1000000
181 k=232 r=599289/5000000 delta=7043/500000000 v=887257/1000000
182 k=232 r=1012437/2000000 delta=7043/500000000 v=-219317/500000
183 k=233 r=-6803279/10000000 delta=14129/1000000000 v=-456487/500000
184 k=233 r=-2981747/10000000 delta=14129/1000000000 v=369153/1000000
185 k=233 r=409549/5000000 delta=14179/1000000000 v=189361/200000
186 k=233 r=4599397/10000000 delta=7037/500000000 v=-265731/1000000
187 k=234 r=-459279/625000 delta=14071/1000000000 v=-489813/500000
188 k=234 r=-3608487/10000000 delta=3533/250000000 v=127057/1000000
189 k=234 r=55857/5000000 delta=14071/1000000000 v=499501/500000
190 k=234 r=381221/1000000 delta=14171/1000000000 v=5737/125000
191 k=234 r=936669/1250000 delta=14071/1000000000 v=-494807/500000
192 k=235 r=-2276377/5000000 delta=7057/500000000 v=-2477/10000
193 k=235 r=-9099/100000 delta=14139/1000000000 v=467247/500000
194 k=235 r=33927/125000 delta=14139/1000000000 v=18653/40000
195 k=235 r=3159783/5000000 delta=7107/500000000 v=-163497/200000
196 k=236 r=-5801433/10000000 delta=14057/1000000000 v=-27259/40000
197 k=236 r=-1116351/5000000 delta=14207/1000000000 v=125403/200000
198 k=236 r=658969/5000000 delta=3549/250000000 v=108029/125000
199 k=236 r=970139/2000000 delta=881/62500000 v=-90283/250000
200 k=237 r=-7342253/10000000 delta=141/10000000 v=-244781/250000
201 k=237 r=-1922349/5000000 delta=14153/1000000000 v=32911/1000000
202 k=237 r=-72921/2000000 delta=281/20000000 v=123673/125000
203 k=237 r=1549189/5000000 delta=14053/1000000000 v=32541/100000
204 k=237 r=20451/31250 delta=71/5000000 v=-216473/250000
205 k=238 r=-573453/1000000 delta=177/12500000 v=-661649/1000000
206 k=238 r=-580527/2500000 delta=14193/1000000000 v=598761/1000000
207 k=238 r=536883/5000000 delta=177/12500000 v=909171/1000000
208 k=238 r=44533/100000 delta=1411/100000000 v=-52243/250000
209 k=238 r=1563327/2000000 delta=14043/1000000000 v=-62493/62500
210 k=239 r=-1136013/2500000 delta=7093/500000000 v=-122163/500000
211 k=239 r=-1212693/10000000 delta=14167/1000000000 v=884639/1000000
212 k=239 r=2102887/10000000 delta=14117/1000000000 v=333301/500000
213 k=239 r=5402899/10000000 delta=7043/500000000 v=-556663/1000000
214 k=240 r=-7020479/10000000 delta=113/8000000 v=-188987/200000
215 k=240 r=-937813/2500000 delta=883/62500000 v=35119/500000
216 k=240 r=-497171/10000000 delta=113/8000000 v=980291/1000000
217 k=240 r=342729/1250000 delta=7089/500000000 v=91301/200000
218 k=240 r=596597/1000000 delta=569/40000000 v=-728131/1000000
219 k=241 r=-6532583/10000000 delta=14071/1000000000 v=-431767/500000
220 k=241 r=-834457/2500000 delta=7041/500000000 v=23349/100000
221 k=241 r=-157519/10000000 delta=7041/500000000 v=15594/15625
222 k=241 r=376043/1250000 delta=14071/1000000000 v=71849/200000
223 k=241 r=3080021/5000000 delta=14071/1000000000 v=-155819/200000
224 k=242 r=-3205159/5000000 delta=14139/1000000000 v=-837849/1000000
225 k=242 r=-328667/1000000 delta=14139/1000000000 v=253337/1000000
226 k=242 r=-88471/5000000 delta=28089/1000000000 v=124687/125000
227 k=242 r=364889/1250000 delta=14139/1000000000 v=392319/1000000
228 k=242 r=3000763/5000000 delta=7057/500000000 v=-368903/500000
229 k=243 r=-6637487/10000000 delta=14207/1000000000 v=-883929/1000000
230 k=243 r=-358193/1000000 delta=14057/1000000000 v=137587/1000000
231 k=243 r=-539627/10000000 delta=14057/1000000000 v=195359/200000
232 k=243 r=2489493/10000000 delta=3549/250000000 v=271917/500000
233 k=243 r=5505639/10000000 delta=7023/500000000 v=-590323/1000000
234 k=244 r=-7199081/10000000 delta=281/20000000 v=-241471/250000
235 k=244 r=-420867/1000000 delta=14203/1000000000 v=-112433/1000000
236 k=244 r=-1230953/10000000 delta=71/5000000 v=88121/100000
237 k=244 r=1734143/10000000 delta=14103/1000000000 v=768913/1000000
238 k=244 r=1171689/2500000 delta=14053/1000000000 v=-1197/4000
239 k=244 r=7627027/10000000 delta=281/20000000 v=-497941/500000
240 k=245 r=-5152937/10000000 delta=14043/1000000000 v=-5887/12500
241 k=245 r=-2237139/10000000 delta=1421/100000000 v=625631/1000000
242 k=245 r=666597/10000000 delta=1421/100000000 v=482331/500000
243 k=245 r=3558341/10000000 delta=14093/1000000000 v=73463/500000
244 k=245 r=1287647/2000000 delta=177/12500000 v=-843893/1000000
245 k=246 r=-6401651/10000000 delta=14059/500000000 v=-835951/1000000
246 k=246 r=-1772607/5000000 delta=7109/500000000 v=76059/500000
247 k=246 r=-700383/10000000 delta=7109/500000000 v=961013/1000000
248 k=246 r=2132947/10000000 delta=2807/200000000 v=82199/125000
249 k=246 r=4954847/10000000 delta=2817/200000000 v=-399657/1000000
250 k=246 r=7765527/10000000 delta=2827/200000000 v=-499687/500000
