M=93 sgn=-1 N=100 J=13 psi=-127699/1000000
61 k=61 r=-2088339/10000000 delta=23/4000000 v=670929/1000000
62 k=61 r=211529/1250000 delta=153/20000000 v=779523/1000000
63 k=61 r=676539/1250000 delta=43/6250000 v=-559787/1000000
64 k=62 r=-6634159/10000000 delta=373/50000000 v=-441653/500000
65 k=62 r=-605887/2000000 delta=323/50000000 v=351359/1000000
66 k=62 r=130063/2500000 delta=557/100000000 v=39137/40000
67 k=62 r=2008279/5000000 delta=787/100000000 v=-35819/1000000
68 k=62 r=3730533/5000000 delta=897/100000000 v=-39507/40000
69 k=63 r=-4852677/10000000 delta=463/50000000 v=-361871/1000000
70 k=63 r=-301459/2000000 delta=139/25000000 v=205921/250000
71 k=63 r=1790633/10000000 delta=717/100000000 v=754271/1000000
72 k=63 r=2521217/5000000 delta=383/50000000 v=-2697/6250
73 k=64 r=-3729291/5000000 delta=283/50000000 v=-987519/1000000
74 k=64 r=-1073817/2500000 delta=847/100000000 v=-146779/1000000
75 k=64 r=-73401/625000 delta=209/25000000 v=445837/500000
76 k=64 r=1905099/10000000 delta=149/25000000 v=723429/1000000
77 k=64 r=2472179/5000000 delta=383/50000000 v=-395807/1000000
78 k=65 r=-7763563/10000000 delta=139/20000000 v=-499673/500000
79 k=65 r=-240087/500000 delta=19/4000000 v=-85701/250000
80 k=65 r=-1877173/10000000 delta=127/20000000 v=91387/125000
81 k=65 r=1011063/10000000 delta=61/12500000 v=919329/1000000
82 k=65 r=193193/500000 delta=99/20000000 v=101/4000
83 k=65 r=1670519/2500000 delta=7/800000 v=-27879/31250
84 k=66 r=-6241423/10000000 delta=241/25000000 v=-399543/500000
85 k=66 r=-436239/1250000 delta=489/100000000 v=86971/500000
86 k=66 r=-385291/5000000 delta=889/100000000 v=952871/1000000
87 k=66 r=1917309/10000000 delta=387/50000000 v=720049/1000000
88 k=66 r=4574481/10000000 delta=201/25000000 v=-25611/100000
89 k=66 r=7201627/10000000 delta=619/100000000 v=-966147/1000000
90 k=67 r=-92321/156250 delta=31/5000000 v=-178049/250000
91 k=67 r=-3339457/10000000 delta=3/312500 v=29107/125000
92 k=67 r=-49903/625000 delta=69/10000000 v=949431/1000000
93 k=67 r=171509/1000000 delta=21/2500000 v=773763/1000000
94 k=67 r=840349/2000000 delta=3/400000 v=-109681/1000000
95 k=67 r=1332417/2000000 delta=41/5000000 v=-888487/1000000
96 k=68 r=-6611301/10000000 delta=41/5000000 v=-439491/500000
97 k=68 r=-4201953/10000000 delta=7/1000000 v=-109763/1000000
98 k=68 r=-454329/2500000 delta=73/10000000 v=747221/1000000
99 k=68 r=54311/1000000 delta=483/100000000 v=195299/200000
100 k=68 r=2879813/10000000 delta=39/5000000 v=406729/1000000
