M=42 sgn=1 N=100 J=3 psi=-69223/200000
45 k=26 r=-1960549/2500000 delta=19/5000000 v=-999989/1000000
46 k=26 r=-5534411/10000000 delta=1/250000 v=-599573/1000000
47 k=26 r=-3276259/10000000 delta=403/100000000 v=257363/1000000
48 k=26 r=-1065651/10000000 delta=363/100000000 v=455259/500000
49 k=26 r=549687/5000000 delta=21/5000000 v=452429/500000
50 k=26 r=1610329/5000000 delta=403/100000000 v=278789/1000000
51 k=26 r=2649967/5000000 delta=283/100000000 v=-260993/500000
52 k=26 r=7338833/10000000 delta=343/100000000 v=-195769/200000
53 k=27 r=-636907/1000000 delta=93/25000000 v=-103591/125000
54 k=27 r=-1101599/2500000 delta=29/12500000 v=-190589/1000000
55 k=27 r=-309967/1250000 delta=371/100000000 v=109421/200000
56 k=27 r=-587793/10000000 delta=391/100000000 v=972487/1000000
57 k=27 r=635331/5000000 delta=271/100000000 v=87359/100000
58 k=27 r=619359/2000000 delta=49/12500000 v=326009/1000000
59 k=27 r=4891711/10000000 delta=29/12500000 v=-188191/500000
60 k=27 r=3328229/5000000 delta=251/100000000 v=-221863/250000
61 k=28 r=-914491/1250000 delta=141/50000000 v=-976929/1000000
62 k=28 r=-2804287/5000000 delta=171/50000000 v=-77881/125000
63 k=28 r=-1964269/5000000 delta=321/100000000 v=-619/1000000
64 k=28 r=-28437/125000 delta=181/50000000 v=306879/500000
65 k=28 r=-647021/10000000 delta=141/50000000 v=120837/125000
66 k=28 r=29877/312500 delta=241/100000000 v=463881/500000
67 k=28 r=2535041/10000000 delta=341/100000000 v=105691/200000
68 k=28 r=1309/3200 delta=401/100000000 v=-65407/1000000
69 k=28 r=5623499/10000000 delta=401/100000000 v=-313853/500000
70 k=28 r=1783579/2500000 delta=261/100000000 v=-239713/250000
71 k=29 r=-354213/500000 delta=83/25000000 v=-59561/62500
72 k=29 r=-1123141/2000000 delta=351/100000000 v=-156319/250000
73 k=29 r=-2083703/5000000 delta=251/100000000 v=-48009/500000
74 k=29 r=-684703/2500000 delta=103/25000000 v=22879/50000
75 k=29 r=-265879/2000000 delta=351/100000000 v=861917/1000000
76 k=29 r=61353/10000000 delta=271/100000000 v=999699/1000000
77 k=29 r=716961/5000000 delta=331/100000000 v=83997/100000
78 k=29 r=139439/500000 delta=291/100000000 v=219859/500000
79 k=29 r=4126377/10000000 delta=53/25000000 v=-7967/100000
80 k=29 r=5447149/10000000 delta=291/100000000 v=-571279/1000000
81 k=29 r=3375757/5000000 delta=29/12500000 v=-904331/1000000
82 k=30 r=-766809/1000000 delta=3/1250000 v=-997237/1000000
83 k=30 r=-6395347/10000000 delta=1/250000 v=-166913/200000
84 k=30 r=-5137847/10000000 delta=11/2500000 v=-465627/1000000
85 k=30 r=-3895229/10000000 delta=223/100000000 v=397/31250
86 k=30 r=-333393/1250000 delta=423/100000000 v=241439/500000
87 k=30 r=-726629/5000000 delta=17/5000000 v=208937/250000
88 k=30 r=-50649/2000000 delta=9/2500000 v=497437/500000
89 k=30 r=116651/1250000 delta=283/100000000 v=186227/200000
90 k=30 r=421281/2000000 delta=303/100000000 v=665553/1000000
91 k=30 r=1633319/5000000 delta=463/100000000 v=6527/25000
92 k=30 r=441419/1000000 delta=323/100000000 v=-12103/62500
93 k=30 r=693667/1250000 delta=383/100000000 v=-604341/1000000
94 k=30 r=3336171/5000000 delta=363/100000000 v=-445181/500000
95 k=30 r=7783463/10000000 delta=383/100000000 v=-499801/500000
96 k=31 r=-3412507/5000000 delta=187/50000000 v=-916487/1000000
97 k=31 r=-5736921/10000000 delta=167/50000000 v=-331183/500000
98 k=31 r=-4659989/10000000 delta=157/50000000 v=-36127/125000
99 k=31 r=-359399/1000000 delta=229/100000000 v=132807/1000000
100 k=31 r=-158669/625000 delta=187/50000000 v=527211/1000000
