M=74 sgn=-1 N=100 J=9 psi=56183/125000
42 k=44 r=-161033/2000000 delta=63/10000000 v=948583/1000000
43 k=44 r=3547977/10000000 delta=13/2000000 v=6041/40000
44 k=44 r=3900519/5000000 delta=51/10000000 v=-31243/31250
45 k=45 r=-3749447/10000000 delta=161/25000000 v=35479/500000
46 k=45 r=316651/10000000 delta=11/1562500 v=991989/1000000
47 k=45 r=4295299/10000000 delta=739/100000000 v=-146791/1000000
48 k=46 r=-939723/1250000 delta=43/6250000 v=-990971/1000000
49 k=46 r=-231451/625000 delta=139/20000000 v=8939/100000
50 k=46 r=6857/2000000 delta=91/12500000 v=499953/500000
51 k=46 r=3697771/10000000 delta=33/6250000 v=2289/25000
52 k=46 r=7290117/10000000 delta=157/25000000 v=-60917/62500
53 k=47 r=-489393/1000000 delta=329/50000000 v=-94301/250000
54 k=47 r=-287177/2000000 delta=199/50000000 v=839543/1000000
55 k=47 r=391741/2000000 delta=121/20000000 v=35423/50000
56 k=47 r=5292129/10000000 delta=133/20000000 v=-12983/25000
57 k=48 r=-7141413/10000000 delta=119/25000000 v=-479827/500000
58 k=48 r=-196197/500000 delta=667/100000000 v=61/50000
59 k=48 r=-76147/1000000 delta=427/100000000 v=953971/1000000
60 k=48 r=2347847/10000000 delta=57/12500000 v=590483/1000000
61 k=48 r=675721/1250000 delta=119/25000000 v=-34851/62500
62 k=49 r=-7293999/10000000 delta=627/100000000 v=-487509/500000
63 k=49 r=-270871/625000 delta=139/25000000 v=-8103/50000
64 k=49 r=-142049/1000000 delta=607/100000000 v=842873/1000000
65 k=49 r=180973/1250000 delta=487/100000000 v=209237/250000
66 k=49 r=4272267/10000000 delta=109/25000000 v=-17209/125000
67 k=49 r=3527137/5000000 delta=77/12500000 v=-118659/125000
68 k=50 r=-2956449/5000000 delta=353/50000000 v=-713417/1000000
69 k=50 r=-3212121/10000000 delta=373/50000000 v=282067/1000000
70 k=50 r=-137551/2500000 delta=223/50000000 v=24397/25000
71 k=50 r=2073953/10000000 delta=537/100000000 v=135037/200000
72 k=50 r=145669/312500 delta=313/50000000 v=-7239/25000
73 k=50 r=7213173/10000000 delta=223/50000000 v=-967329/1000000
74 k=51 r=-1195549/2000000 delta=167/25000000 v=-91419/125000
75 k=51 r=-1747243/5000000 delta=131/20000000 v=8607/50000
76 k=51 r=-1044119/10000000 delta=91/20000000 v=457023/500000
77 k=51 r=171777/1250000 delta=119/20000000 v=53293/62500
78 k=51 r=1880673/5000000 delta=111/20000000 v=66209/1000000
79 k=51 r=3059033/5000000 delta=97/25000000 v=-768459/1000000
80 k=52 r=-7262823/10000000 delta=63/12500000 v=-972173/1000000
81 k=52 r=-4964657/10000000 delta=379/100000000 v=-403251/1000000
82 k=52 r=-269469/1000000 delta=53/12500000 v=473201/1000000
83 k=52 r=-226119/5000000 delta=11/1562500 v=983683/1000000
84 k=52 r=1763357/10000000 delta=49/6250000 v=761389/1000000
85 k=52 r=988183/2500000 delta=399/100000000 v=-1287/125000
86 k=52 r=6116499/10000000 delta=679/100000000 v=-384029/500000
87 k=53 r=-931589/1250000 delta=633/100000000 v=-493573/500000
88 k=53 r=-5338403/10000000 delta=653/100000000 v=-66881/125000
89 k=53 r=-649597/2000000 delta=51/10000000 v=10731/40000
90 k=53 r=-47237/400000 delta=49/10000000 v=222623/250000
91 k=53 r=172659/2000000 delta=77/10000000 v=117621/125000
92 k=53 r=2885173/10000000 delta=11/2000000 v=40477/100000
93 k=53 r=4885193/10000000 delta=69/10000000 v=-74793/200000
94 k=53 r=6863821/10000000 delta=59/10000000 v=-922587/1000000
95 k=54 r=-1721613/2500000 delta=33/5000000 v=-926041/1000000
96 k=54 r=-2474631/5000000 delta=1/156250 v=-49701/125000
97 k=54 r=-1516073/5000000 delta=7/1250000 v=43793/125000
98 k=54 r=-1134693/10000000 delta=29/5000000 v=449377/500000
99 k=54 r=148699/2000000 delta=403/100000000 v=478051/500000
100 k=54 r=2602807/10000000 delta=3/500000 v=126313/250000
